Filename:  C:\Users\csmuser\Desktop\Ian_Ryan_137Cs.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/07/2013 16:23:58,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
180,190,0,0,739,0,0,BAD
405,408,0,0,63,0,0,BAD
592,595,0,0,83,0,0,BAD
799,803,0,0,81,0,0,BAD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,1.96E+06,,,,,,
1,1.25E+07,,,,,,
2,745302,,,,,,
3,95859,,,,,,
4,52835,,,,,,
5,34829,,,,,,
6,22743,,,,,,
7,15141,,,,,,
8,10583,,,,,,
9,7294,,,,,,
10,5016,,,,,,
11,3543,,,,,,
12,2589,,,,,,
13,1876,,,,,,
14,1413,,,,,,
15,1085,,,,,,
16,914,,,,,,
17,683,,,,,,
18,550,,,,,,
19,455,,,,,,
20,366,,,,,,
21,333,,,,,,
22,257,,,,,,
23,235,,,,,,
24,222,,,,,,
25,205,,,,,,
26,157,,,,,,
27,154,,,,,,
28,140,,,,,,
29,170,,,,,,
30,122,,,,,,
31,135,,,,,,
32,126,,,,,,
33,134,,,,,,
34,114,,,,,,
35,111,,,,,,
36,119,,,,,,
37,108,,,,,,
38,102,,,,,,
39,99,,,,,,
40,94,,,,,,
41,109,,,,,,
42,93,,,,,,
43,76,,,,,,
44,103,,,,,,
45,98,,,,,,
46,95,,,,,,
47,90,,,,,,
48,104,,,,,,
49,142,,,,,,
50,137,,,,,,
51,147,,,,,,
52,142,,,,,,
53,159,,,,,,
54,151,,,,,,
55,127,,,,,,
56,109,,,,,,
57,103,,,,,,
58,106,,,,,,
59,107,,,,,,
60,100,,,,,,
61,127,,,,,,
62,112,,,,,,
63,106,,,,,,
64,99,,,,,,
65,100,,,,,,
66,84,,,,,,
67,72,,,,,,
68,77,,,,,,
69,81,,,,,,
70,82,,,,,,
71,84,,,,,,
72,77,,,,,,
73,92,,,,,,
74,92,,,,,,
75,87,,,,,,
76,83,,,,,,
77,86,,,,,,
78,91,,,,,,
79,95,,,,,,
80,94,,,,,,
81,90,,,,,,
82,97,,,,,,
83,88,,,,,,
84,94,,,,,,
85,106,,,,,,
86,111,,,,,,
87,96,,,,,,
88,85,,,,,,
89,98,,,,,,
90,105,,,,,,
91,88,,,,,,
92,92,,,,,,
93,95,,,,,,
94,94,,,,,,
95,94,,,,,,
96,83,,,,,,
97,86,,,,,,
98,83,,,,,,
99,103,,,,,,
100,104,,,,,,
101,87,,,,,,
102,92,,,,,,
103,84,,,,,,
104,87,,,,,,
105,89,,,,,,
106,96,,,,,,
107,100,,,,,,
108,90,,,,,,
109,87,,,,,,
110,89,,,,,,
111,98,,,,,,
112,89,,,,,,
113,74,,,,,,
114,102,,,,,,
115,98,,,,,,
116,101,,,,,,
117,91,,,,,,
118,95,,,,,,
119,98,,,,,,
120,80,,,,,,
121,82,,,,,,
122,85,,,,,,
123,100,,,,,,
124,90,,,,,,
125,113,,,,,,
126,87,,,,,,
127,96,,,,,,
128,90,,,,,,
129,94,,,,,,
130,99,,,,,,
131,106,,,,,,
132,89,,,,,,
133,87,,,,,,
134,102,,,,,,
