Filename:  C:\Users\csmuser\Desktop\Ian_Ryan_137Cs.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/07/2013 16:14:05,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
180,190,0,0,358,0,0,BAD
405,408,0,63,227,406.63,31.39,MARGINAL
592,595,0,0,0,0,0,BAD
799,803,0,0,0,0,0,BAD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,3.60E+06,,,,,,
1,777621,,,,,,
2,740406,,,,,,
3,54576,,,,,,
4,22456,,,,,,
5,13973,,,,,,
6,8819,,,,,,
7,5609,,,,,,
8,3738,,,,,,
9,2473,,,,,,
10,1739,,,,,,
11,1202,,,,,,
12,907,,,,,,
13,669,,,,,,
14,580,,,,,,
15,456,,,,,,
16,403,,,,,,
17,418,,,,,,
18,387,,,,,,
19,455,,,,,,
20,562,,,,,,
21,819,,,,,,
22,1027,,,,,,
23,1033,,,,,,
24,879,,,,,,
25,522,,,,,,
26,337,,,,,,
27,217,,,,,,
28,134,,,,,,
29,98,,,,,,
30,86,,,,,,
31,100,,,,,,
32,92,,,,,,
33,90,,,,,,
34,88,,,,,,
35,70,,,,,,
36,78,,,,,,
37,85,,,,,,
38,71,,,,,,
39,64,,,,,,
40,56,,,,,,
41,61,,,,,,
42,76,,,,,,
43,70,,,,,,
44,80,,,,,,
45,69,,,,,,
46,60,,,,,,
47,71,,,,,,
48,65,,,,,,
49,70,,,,,,
50,71,,,,,,
51,97,,,,,,
52,117,,,,,,
53,94,,,,,,
54,96,,,,,,
55,98,,,,,,
56,93,,,,,,
57,68,,,,,,
58,60,,,,,,
59,68,,,,,,
60,76,,,,,,
61,74,,,,,,
62,63,,,,,,
63,73,,,,,,
64,48,,,,,,
65,51,,,,,,
66,38,,,,,,
67,62,,,,,,
68,38,,,,,,
69,48,,,,,,
70,42,,,,,,
71,37,,,,,,
72,51,,,,,,
73,42,,,,,,
74,52,,,,,,
75,51,,,,,,
76,48,,,,,,
77,66,,,,,,
78,49,,,,,,
79,49,,,,,,
80,62,,,,,,
81,66,,,,,,
82,58,,,,,,
83,51,,,,,,
84,58,,,,,,
85,59,,,,,,
86,56,,,,,,
87,66,,,,,,
88,64,,,,,,
89,67,,,,,,
90,49,,,,,,
91,69,,,,,,
92,56,,,,,,
93,62,,,,,,
94,69,,,,,,
95,53,,,,,,
96,64,,,,,,
97,50,,,,,,
98,58,,,,,,
99,62,,,,,,
100,60,,,,,,
101,46,,,,,,
102,60,,,,,,
103,57,,,,,,
104,66,,,,,,
105,60,,,,,,
106,70,,,,,,
107,62,,,,,,
108,68,,,,,,
109,70,,,,,,
110,61,,,,,,
111,60,,,,,,
112,54,,,,,,
113,66,,,,,,
114,76,,,,,,
115,57,,,,,,
116,49,,,,,,
117,60,,,,,,
118,75,,,,,,
119,71,,,,,,
120,58,,,,,,
121,64,,,,,,
122,88,,,,,,
123,96,,,,,,
124,83,,,,,,
125,90,,,,,,
126,91,,,,,,
127,86,,,,,,
128,95,,,,,,
129,101,,,,,,
130,90,,,,,,
131,86,,,,,,
132,85,,,,,,
133,80,,,,,,
134,90,,,,,,
135,85,,,,,,
136,91,,,,,,
137,65,,,,,,
138,94,,,,,,
139,85,,,,,,
140,92,,,,,,
141,73,,,,,,
142,89,,,,,,
143,79,,,,,,
144,95,,,,,,
145,72,,,,,,
146,66,,,,,,
147,56,,,,,,
148,76,,,,,,
149,64,,,,,,
150,78,,,,,,
151,56,,,,,,
152,64,,,,,,
153,59,,,,,,
154,62,,,,,,
155,63,,,,,,
156,63,,,,,,
157,56,,,,,,
158,61,,,,,,
159,59,,,,,,
160,70,,,,,,
161,55,,,,,,
162,49,,,,,,
163,48,,,,,,
164,53,,,,,,
165,46,,,,,,
166,57,,,,,,
167,63,,,,,,
168,43,,,,,,
169,57,,,,,,
170,51,,,,,,
171,44,,,,,,
172,48,,,,,,
173,49,,,,,,
174,51,,,,,,
175,41,,,,,,
176,38,,,,,,
177,28,,,,,,
178,40,,,,,,
179,45,,,,,,
180,37,,,,,,
181,48,,,,,,
182,34,,,,,,
183,43,,,,,,
184,37,,,,,,
185,39,,,,,,
186,31,,,,,,
187,42,,,,,,
188,33,,,,,,
189,51,,,,,,
190,34,,,,,,
191,38,,,,,,
192,36,,,,,,
193,36,,,,,,
194,36,,,,,,
195,39,,,,,,
196,32,,,,,,
197,39,,,,,,
198,36,,,,,,
199,31,,,,,,
200,20,,,,,,
201,32,,,,,,
202,27,,,,,,
203,36,,,,,,
204,40,,,,,,
205,22,,,,,,
206,36,,,,,,
207,32,,,,,,
208,29,,,,,,
209,28,,,,,,
210,23,,,,,,
211,25,,,,,,
212,32,,,,,,
213,37,,,,,,
214,30,,,,,,
215,33,,,,,,
216,24,,,,,,
217,35,,,,,,
218,27,,,,,,
219,29,,,,,,
220,24,,,,,,
221,31,,,,,,
222,30,,,,,,
223,25,,,,,,
224,29,,,,,,
225,32,,,,,,
226,26,,,,,,
227,28,,,,,,
228,33,,,,,,
229,21,,,,,,
230,30,,,,,,
231,28,,,,,,
232,36,,,,,,
233,31,,,,,,
234,26,,,,,,
235,24,,,,,,
236,27,,,,,,
237,30,,,,,,
238,32,,,,,,
239,25,,,,,,
240,25,,,,,,
241,26,,,,,,
242,26,,,,,,
243,31,,,,,,
244,21,,,,,,
245,36,,,,,,
246,33,,,,,,
247,31,,,,,,
248,33,,,,,,
249,38,,,,,,
250,33,,,,,,
251,21,,,,,,
252,28,,,,,,
253,23,,,,,,
254,29,,,,,,
255,23,,,,,,
256,28,,,,,,
257,24,,,,,,
258,25,,,,,,
259,30,,,,,,
260,26,,,,,,
261,26,,,,,,
262,41,,,,,,
263,27,,,,,,
264,36,,,,,,
265,35,,,,,,
266,30,,,,,,
267,35,,,,,,
268,34,,,,,,
269,23,,,,,,
270,26,,,,,,
271,21,,,,,,
272,25,,,,,,
273,24,,,,,,
274,41,,,,,,
275,30,,,,,,
276,32,,,,,,
277,42,,,,,,
278,35,,,,,,
279,29,,,,,,
280,32,,,,,,
281,30,,,,,,
282,23,,,,,,
283,49,,,,,,
284,25,,,,,,
285,34,,,,,,
286,35,,,,,,
287,28,,,,,,
288,32,,,,,,
289,33,,,,,,
290,22,,,,,,
291,27,,,,,,
292,23,,,,,,
293,23,,,,,,
294,32,,,,,,
295,23,,,,,,
296,24,,,,,,
297,20,,,,,,
298,14,,,,,,
299,17,,,,,,
300,16,,,,,,
301,20,,,,,,
302,18,,,,,,
303,15,,,,,,
304,14,,,,,,
305,19,,,,,,
306,19,,,,,,
307,14,,,,,,
308,3,,,,,,
309,9,,,,,,
310,16,,,,,,
311,11,,,,,,
312,3,,,,,,
313,8,,,,,,
314,11,,,,,,
315,7,,,,,,
316,10,,,,,,
317,5,,,,,,
318,4,,,,,,
319,8,,,,,,
320,11,,,,,,
321,7,,,,,,
322,7,,,,,,
323,8,,,,,,
324,3,,,,,,
325,9,,,,,,
326,7,,,,,,
327,6,,,,,,
328,3,,,,,,
329,7,,,,,,
330,5,,,,,,
331,6,,,,,,
332,10,,,,,,
333,5,,,,,,
334,0,,,,,,
335,6,,,,,,
336,7,,,,,,
337,8,,,,,,
338,1,,,,,,
339,4,,,,,,
340,5,,,,,,
341,4,,,,,,
342,5,,,,,,
343,6,,,,,,
344,3,,,,,,
345,5,,,,,,
346,4,,,,,,
347,6,,,,,,
348,9,,,,,,
349,3,,,,,,
350,10,,,,,,
351,3,,,,,,
352,4,,,,,,
353,2,,,,,,
354,6,,,,,,
355,3,,,,,,
356,6,,,,,,
357,4,,,,,,
358,2,,,,,,
359,2,,,,,,
360,3,,,,,,
361,1,,,,,,
362,3,,,,,,
363,5,,,,,,
364,5,,,,,,
365,1,,,,,,
366,3,,,,,,
367,2,,,,,,
368,0,,,,,,
369,2,,,,,,
370,4,,,,,,
371,5,,,,,,
372,7,,,,,,
373,4,,,,,,
374,4,,,,,,
375,7,,,,,,
376,4,,,,,,
377,7,,,,,,
378,7,,,,,,
379,6,,,,,,
380,4,,,,,,
381,4,,,,,,
382,3,,,,,,
383,3,,,,,,
384,11,,,,,,
385,7,,,,,,
386,6,,,,,,
387,9,,,,,,
388,13,,,,,,
389,6,,,,,,
390,17,,,,,,
391,16,,,,,,
392,26,,,,,,
393,18,,,,,,
394,27,,,,,,
395,35,,,,,,
396,35,,,,,,
397,19,,,,,,
398,31,,,,,,
399,48,,,,,,
400,52,,,,,,
401,54,,,,,,
402,63,,,,,,
403,67,,,,,,
404,69,,,,,,
405,75,,,,,,
406,105,,,,,,
407,122,,,,,,
408,89,,,,,,
409,117,,,,,,
410,113,,,,,,
411,147,,,,,,
412,147,,,,,,
413,157,,,,,,
414,158,,,,,,
415,167,,,,,,
416,171,,,,,,
417,163,,,,,,
418,184,,,,,,
419,188,,,,,,
420,191,,,,,,
421,194,,,,,,
422,180,,,,,,
423,174,,,,,,
424,182,,,,,,
425,171,,,,,,
426,176,,,,,,
427,156,,,,,,
428,146,,,,,,
429,142,,,,,,
430,158,,,,,,
431,153,,,,,,
432,122,,,,,,
433,137,,,,,,
434,121,,,,,,
435,109,,,,,,
436,124,,,,,,
437,94,,,,,,
438,71,,,,,,
439,92,,,,,,
440,72,,,,,,
441,50,,,,,,
442,58,,,,,,
443,57,,,,,,
444,44,,,,,,
445,46,,,,,,
446,37,,,,,,
447,27,,,,,,
448,31,,,,,,
449,15,,,,,,
450,14,,,,,,
451,12,,,,,,
452,18,,,,,,
453,10,,,,,,
454,12,,,,,,
455,11,,,,,,
456,7,,,,,,
457,4,,,,,,
458,4,,,,,,
459,6,,,,,,
460,2,,,,,,
461,4,,,,,,
462,2,,,,,,
463,3,,,,,,
464,1,,,,,,
465,3,,,,,,
466,0,,,,,,
467,1,,,,,,
468,1,,,,,,
469,1,,,,,,
470,0,,,,,,
471,1,,,,,,
472,0,,,,,,
473,0,,,,,,
474,0,,,,,,
475,0,,,,,,
476,0,,,,,,
477,0,,,,,,
478,0,,,,,,
479,0,,,,,,
480,0,,,,,,
481,1,,,,,,
482,1,,,,,,
483,0,,,,,,
484,0,,,,,,
485,0,,,,,,
486,0,,,,,,
487,0,,,,,,
488,0,,,,,,
489,0,,,,,,
490,0,,,,,,
491,0,,,,,,
492,0,,,,,,
493,1,,,,,,
494,0,,,,,,
495,0,,,,,,
496,0,,,,,,
497,0,,,,,,
498,0,,,,,,
499,0,,,,,,
500,0,,,,,,
501,0,,,,,,
502,0,,,,,,
503,0,,,,,,
504,1,,,,,,
505,0,,,,,,
506,0,,,,,,
507,0,,,,,,
508,0,,,,,,
509,0,,,,,,
510,0,,,,,,
511,0,,,,,,
512,1,,,,,,
513,1,,,,,,
514,0,,,,,,
515,0,,,,,,
516,0,,,,,,
517,0,,,,,,
518,0,,,,,,
519,0,,,,,,
520,0,,,,,,
521,0,,,,,,
522,0,,,,,,
523,0,,,,,,
524,0,,,,,,
525,2,,,,,,
526,0,,,,,,
527,0,,,,,,
528,0,,,,,,
529,1,,,,,,
530,0,,,,,,
531,0,,,,,,
532,0,,,,,,
533,0,,,,,,
534,0,,,,,,
535,0,,,,,,
536,0,,,,,,
537,0,,,,,,
538,0,,,,,,
539,1,,,,,,
540,0,,,,,,
541,1,,,,,,
542,0,,,,,,
543,0,,,,,,
544,0,,,,,,
545,1,,,,,,
546,0,,,,,,
547,0,,,,,,
548,0,,,,,,
549,0,,,,,,
550,0,,,,,,
551,0,,,,,,
552,0,,,,,,
553,0,,,,,,
554,0,,,,,,
555,0,,,,,,
556,0,,,,,,
557,1,,,,,,
558,0,,,,,,
559,0,,,,,,
560,0,,,,,,
561,0,,,,,,
562,0,,,,,,
563,0,,,,,,
564,0,,,,,,
565,0,,,,,,
566,0,,,,,,
567,0,,,,,,
568,0,,,,,,
569,0,,,,,,
570,0,,,,,,
571,0,,,,,,
572,0,,,,,,
573,0,,,,,,
574,0,,,,,,
575,0,,,,,,
576,0,,,,,,
577,0,,,,,,
578,0,,,,,,
579,0,,,,,,
580,0,,,,,,
581,0,,,,,,
582,0,,,,,,
583,0,,,,,,
584,0,,,,,,
585,0,,,,,,
586,0,,,,,,
587,0,,,,,,
588,0,,,,,,
589,0,,,,,,
590,0,,,,,,
591,0,,,,,,
592,0,,,,,,
593,0,,,,,,
594,0,,,,,,
595,0,,,,,,
596,0,,,,,,
597,1,,,,,,
598,0,,,,,,
599,0,,,,,,
600,0,,,,,,
601,0,,,,,,
602,0,,,,,,
603,0,,,,,,
604,0,,,,,,
605,1,,,,,,
606,0,,,,,,
607,0,,,,,,
608,0,,,,,,
609,0,,,,,,
610,0,,,,,,
611,0,,,,,,
612,0,,,,,,
613,0,,,,,,
614,0,,,,,,
615,0,,,,,,
616,0,,,,,,
617,0,,,,,,
618,0,,,,,,
619,0,,,,,,
620,0,,,,,,
621,0,,,,,,
622,0,,,,,,
623,0,,,,,,
624,0,,,,,,
625,0,,,,,,
626,0,,,,,,
627,0,,,,,,
628,0,,,,,,
629,0,,,,,,
630,0,,,,,,
631,0,,,,,,
632,1,,,,,,
633,0,,,,,,
634,0,,,,,,
635,0,,,,,,
636,0,,,,,,
637,0,,,,,,
638,0,,,,,,
639,0,,,,,,
640,0,,,,,,
641,0,,,,,,
642,1,,,,,,
643,0,,,,,,
644,0,,,,,,
645,1,,,,,,
646,1,,,,,,
647,0,,,,,,
648,0,,,,,,
649,0,,,,,,
650,0,,,,,,
651,0,,,,,,
652,0,,,,,,
653,0,,,,,,
654,0,,,,,,
655,0,,,,,,
656,0,,,,,,
657,0,,,,,,
658,0,,,,,,
659,0,,,,,,
660,0,,,,,,
661,0,,,,,,
662,0,,,,,,
663,0,,,,,,
664,0,,,,,,
665,0,,,,,,
666,0,,,,,,
667,0,,,,,,
668,0,,,,,,
669,0,,,,,,
670,0,,,,,,
671,0,,,,,,
672,0,,,,,,
673,0,,,,,,
674,0,,,,,,
675,0,,,,,,
676,0,,,,,,
677,0,,,,,,
678,0,,,,,,
679,0,,,,,,
680,0,,,,,,
681,0,,,,,,
682,0,,,,,,
683,0,,,,,,
684,0,,,,,,
685,0,,,,,,
686,0,,,,,,
687,0,,,,,,
688,0,,,,,,
689,0,,,,,,
690,0,,,,,,
691,0,,,,,,
692,0,,,,,,
693,0,,,,,,
694,0,,,,,,
695,0,,,,,,
696,0,,,,,,
697,0,,,,,,
698,0,,,,,,
699,0,,,,,,
700,0,,,,,,
701,1,,,,,,
702,0,,,,,,
703,0,,,,,,
704,0,,,,,,
705,0,,,,,,
706,0,,,,,,
707,0,,,,,,
708,0,,,,,,
709,0,,,,,,
710,0,,,,,,
711,0,,,,,,
712,0,,,,,,
713,0,,,,,,
714,0,,,,,,
715,0,,,,,,
716,0,,,,,,
717,0,,,,,,
718,0,,,,,,
719,0,,,,,,
720,0,,,,,,
721,0,,,,,,
722,0,,,,,,
723,0,,,,,,
724,0,,,,,,
725,0,,,,,,
726,0,,,,,,
727,0,,,,,,
728,0,,,,,,
729,0,,,,,,
730,0,,,,,,
731,0,,,,,,
732,0,,,,,,
733,0,,,,,,
734,0,,,,,,
735,0,,,,,,
736,1,,,,,,
737,0,,,,,,
738,0,,,,,,
739,0,,,,,,
740,0,,,,,,
741,0,,,,,,
742,0,,,,,,
743,0,,,,,,
744,0,,,,,,
745,0,,,,,,
746,0,,,,,,
747,1,,,,,,
748,0,,,,,,
749,0,,,,,,
750,0,,,,,,
751,0,,,,,,
752,0,,,,,,
753,0,,,,,,
754,0,,,,,,
755,0,,,,,,
756,0,,,,,,
757,0,,,,,,
758,0,,,,,,
759,0,,,,,,
760,0,,,,,,
761,0,,,,,,
762,0,,,,,,
763,0,,,,,,
764,0,,,,,,
765,0,,,,,,
766,0,,,,,,
