Filename:  C:\Users\csmuser\Desktop\Ian_Ryan_137Cs.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/07/2013 16:27:36,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
180,190,0,0,1064,0,0,BAD
405,408,0,0,28,0,0,BAD
592,595,0,0,40,0,0,BAD
799,803,0,0,178,0,0,BAD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,1.11E+07,,,,,,
1,1.00E+07,,,,,,
2,673454,,,,,,
3,116143,,,,,,
4,64737,,,,,,
5,41287,,,,,,
6,26571,,,,,,
7,17797,,,,,,
8,12070,,,,,,
9,8143,,,,,,
10,5990,,,,,,
11,4269,,,,,,
12,3152,,,,,,
13,2463,,,,,,
14,1832,,,,,,
15,1641,,,,,,
16,1240,,,,,,
17,1027,,,,,,
18,788,,,,,,
19,733,,,,,,
20,639,,,,,,
21,497,,,,,,
22,422,,,,,,
23,399,,,,,,
24,338,,,,,,
25,309,,,,,,
26,295,,,,,,
27,273,,,,,,
28,250,,,,,,
29,245,,,,,,
30,275,,,,,,
31,276,,,,,,
32,238,,,,,,
33,234,,,,,,
34,218,,,,,,
35,220,,,,,,
36,230,,,,,,
37,218,,,,,,
38,199,,,,,,
39,206,,,,,,
40,208,,,,,,
41,236,,,,,,
42,202,,,,,,
43,204,,,,,,
44,182,,,,,,
45,216,,,,,,
46,179,,,,,,
47,200,,,,,,
48,209,,,,,,
49,221,,,,,,
50,254,,,,,,
51,277,,,,,,
52,306,,,,,,
53,317,,,,,,
54,304,,,,,,
55,250,,,,,,
56,247,,,,,,
57,203,,,,,,
58,193,,,,,,
59,220,,,,,,
60,205,,,,,,
61,218,,,,,,
62,190,,,,,,
63,181,,,,,,
64,186,,,,,,
65,146,,,,,,
66,157,,,,,,
67,179,,,,,,
68,168,,,,,,
69,159,,,,,,
70,176,,,,,,
71,172,,,,,,
72,149,,,,,,
73,189,,,,,,
74,159,,,,,,
75,164,,,,,,
76,181,,,,,,
77,152,,,,,,
78,182,,,,,,
79,167,,,,,,
80,176,,,,,,
81,174,,,,,,
82,168,,,,,,
83,177,,,,,,
84,183,,,,,,
85,169,,,,,,
86,171,,,,,,
87,196,,,,,,
88,156,,,,,,
89,189,,,,,,
90,187,,,,,,
91,160,,,,,,
92,208,,,,,,
93,169,,,,,,
94,169,,,,,,
95,171,,,,,,
96,176,,,,,,
97,158,,,,,,
98,162,,,,,,
99,184,,,,,,
100,204,,,,,,
101,193,,,,,,
102,173,,,,,,
103,174,,,,,,
104,209,,,,,,
105,178,,,,,,
106,170,,,,,,
107,166,,,,,,
108,193,,,,,,
109,167,,,,,,
110,222,,,,,,
111,195,,,,,,
112,223,,,,,,
113,225,,,,,,
114,252,,,,,,
115,223,,,,,,
116,231,,,,,,
117,258,,,,,,
118,247,,,,,,
119,236,,,,,,
120,275,,,,,,
121,291,,,,,,
122,264,,,,,,
123,263,,,,,,
124,254,,,,,,
125,272,,,,,,
126,229,,,,,,
127,269,,,,,,
128,233,,,,,,
129,246,,,,,,
130,236,,,,,,
131,238,,,,,,
132,223,,,,,,
133,226,,,,,,
134,226,,,,,,
135,220,,,,,,
136,219,,,,,,
137,248,,,,,,
138,202,,,,,,
139,227,,,,,,
140,208,,,,,,
141,214,,,,,,
142,196,,,,,,
143,193,,,,,,
144,202,,,,,,
145,160,,,,,,
146,197,,,,,,
147,182,,,,,,
148,201,,,,,,
149,184,,,,,,
150,163,,,,,,
151,194,,,,,,
152,181,,,,,,
153,171,,,,,,
154,161,,,,,,
155,164,,,,,,
156,164,,,,,,
157,174,,,,,,
158,162,,,,,,
159,171,,,,,,
160,180,,,,,,
161,144,,,,,,
162,139,,,,,,
163,142,,,,,,
164,168,,,,,,
165,153,,,,,,
166,135,,,,,,
167,155,,,,,,
168,154,,,,,,
169,130,,,,,,
170,127,,,,,,
171,129,,,,,,
172,120,,,,,,
173,146,,,,,,
174,131,,,,,,
175,121,,,,,,
176,137,,,,,,
177,134,,,,,,
178,121,,,,,,
179,112,,,,,,
180,131,,,,,,
181,134,,,,,,
182,129,,,,,,
183,119,,,,,,
184,134,,,,,,
185,100,,,,,,
186,107,,,,,,
187,131,,,,,,
188,97,,,,,,
189,113,,,,,,
190,129,,,,,,
191,118,,,,,,
192,130,,,,,,
193,101,,,,,,
194,102,,,,,,
195,111,,,,,,
196,128,,,,,,
197,109,,,,,,
198,107,,,,,,
199,133,,,,,,
200,116,,,,,,
201,128,,,,,,
202,128,,,,,,
203,118,,,,,,
204,98,,,,,,
205,110,,,,,,
206,97,,,,,,
207,107,,,,,,
208,90,,,,,,
209,84,,,,,,
210,102,,,,,,
211,92,,,,,,
212,99,,,,,,
213,98,,,,,,
214,74,,,,,,
215,85,,,,,,
216,85,,,,,,
217,74,,,,,,
218,67,,,,,,
219,72,,,,,,
220,58,,,,,,
221,68,,,,,,
222,53,,,,,,
223,51,,,,,,
224,43,,,,,,
225,46,,,,,,
226,50,,,,,,
227,52,,,,,,
228,63,,,,,,
229,39,,,,,,
230,49,,,,,,
231,52,,,,,,
232,53,,,,,,
233,42,,,,,,
234,37,,,,,,
235,40,,,,,,
236,55,,,,,,
237,48,,,,,,
238,39,,,,,,
239,51,,,,,,
240,46,,,,,,
241,39,,,,,,
242,42,,,,,,
243,38,,,,,,
244,36,,,,,,
245,48,,,,,,
246,42,,,,,,
247,49,,,,,,
248,35,,,,,,
249,53,,,,,,
250,59,,,,,,
251,38,,,,,,
252,39,,,,,,
253,19,,,,,,
254,27,,,,,,
255,34,,,,,,
256,39,,,,,,
257,37,,,,,,
258,29,,,,,,
259,32,,,,,,
260,35,,,,,,
261,39,,,,,,
262,30,,,,,,
263,37,,,,,,
264,47,,,,,,
265,41,,,,,,
266,31,,,,,,
267,31,,,,,,
268,33,,,,,,
269,50,,,,,,
270,26,,,,,,
271,41,,,,,,
272,43,,,,,,
273,28,,,,,,
274,35,,,,,,
275,32,,,,,,
276,30,,,,,,
277,41,,,,,,
278,32,,,,,,
279,43,,,,,,
280,34,,,,,,
281,28,,,,,,
282,34,,,,,,
283,32,,,,,,
284,34,,,,,,
285,20,,,,,,
286,33,,,,,,
287,26,,,,,,
288,23,,,,,,
289,24,,,,,,
290,28,,,,,,
291,33,,,,,,
292,30,,,,,,
293,32,,,,,,
294,39,,,,,,
295,36,,,,,,
296,35,,,,,,
297,44,,,,,,
298,37,,,,,,
299,40,,,,,,
300,37,,,,,,
301,44,,,,,,
302,67,,,,,,
303,71,,,,,,
304,82,,,,,,
305,94,,,,,,
306,134,,,,,,
307,113,,,,,,
308,131,,,,,,
309,168,,,,,,
310,169,,,,,,
311,235,,,,,,
312,234,,,,,,
313,256,,,,,,
314,314,,,,,,
315,292,,,,,,
316,355,,,,,,
317,388,,,,,,
318,391,,,,,,
319,444,,,,,,
320,461,,,,,,
321,495,,,,,,
322,558,,,,,,
323,560,,,,,,
324,605,,,,,,
325,550,,,,,,
326,594,,,,,,
327,611,,,,,,
328,589,,,,,,
329,601,,,,,,
330,569,,,,,,
331,558,,,,,,
332,562,,,,,,
333,573,,,,,,
334,539,,,,,,
335,519,,,,,,
336,500,,,,,,
337,450,,,,,,
338,422,,,,,,
339,428,,,,,,
340,434,,,,,,
341,354,,,,,,
342,323,,,,,,
343,283,,,,,,
344,267,,,,,,
345,216,,,,,,
346,224,,,,,,
347,189,,,,,,
348,150,,,,,,
349,144,,,,,,
350,128,,,,,,
351,93,,,,,,
352,101,,,,,,
353,90,,,,,,
354,76,,,,,,
355,59,,,,,,
356,50,,,,,,
357,45,,,,,,
358,36,,,,,,
359,37,,,,,,
360,27,,,,,,
361,27,,,,,,
362,27,,,,,,
363,15,,,,,,
364,24,,,,,,
365,20,,,,,,
366,22,,,,,,
367,30,,,,,,
368,21,,,,,,
369,18,,,,,,
370,15,,,,,,
371,15,,,,,,
372,26,,,,,,
373,24,,,,,,
374,17,,,,,,
375,18,,,,,,
376,17,,,,,,
377,23,,,,,,
378,22,,,,,,
379,26,,,,,,
380,13,,,,,,
381,20,,,,,,
382,26,,,,,,
383,17,,,,,,
384,20,,,,,,
385,22,,,,,,
386,27,,,,,,
387,18,,,,,,
388,19,,,,,,
389,19,,,,,,
390,20,,,,,,
391,12,,,,,,
392,13,,,,,,
393,18,,,,,,
394,23,,,,,,
395,21,,,,,,
396,13,,,,,,
397,26,,,,,,
398,20,,,,,,
399,31,,,,,,
400,12,,,,,,
401,20,,,,,,
402,22,,,,,,
403,26,,,,,,
404,19,,,,,,
405,14,,,,,,
406,20,,,,,,
407,8,,,,,,
408,26,,,,,,
409,30,,,,,,
410,18,,,,,,
411,21,,,,,,
412,21,,,,,,
413,17,,,,,,
414,24,,,,,,
415,25,,,,,,
416,26,,,,,,
417,19,,,,,,
418,26,,,,,,
419,29,,,,,,
420,19,,,,,,
421,22,,,,,,
422,17,,,,,,
423,24,,,,,,
424,33,,,,,,
425,29,,,,,,
426,20,,,,,,
427,29,,,,,,
428,19,,,,,,
429,20,,,,,,
430,25,,,,,,
431,23,,,,,,
432,26,,,,,,
433,19,,,,,,
434,17,,,,,,
435,21,,,,,,
436,20,,,,,,
437,26,,,,,,
438,21,,,,,,
439,16,,,,,,
440,31,,,,,,
441,26,,,,,,
442,19,,,,,,
443,23,,,,,,
444,29,,,,,,
445,24,,,,,,
446,33,,,,,,
447,26,,,,,,
448,27,,,,,,
449,22,,,,,,
450,26,,,,,,
451,31,,,,,,
452,25,,,,,,
453,28,,,,,,
454,17,,,,,,
455,25,,,,,,
456,15,,,,,,
457,14,,,,,,
458,16,,,,,,
459,22,,,,,,
