Filename:  C:\Users\csmuser\Desktop\Ian_Ryan_137Cs.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/07/2013 16:36:34,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
47,71,5.57,731,2778,55.63,9.5,GOOD
73,95,2.383,173,2084,83.09,36.54,GOOD
180,190,0,80,656,184.31,43.87,MARGINAL
302,359,0,0,2695,0,0,BAD
405,408,0,0,51,0,0,BAD
478,569,31.533,10086,10581,526.63,1.04,GOOD
592,595,0,0,0,0,0,BAD
704,770,0,0,22,0,0,BAD
757,836,0,0,14,0,0,BAD
786,871,0,0,7,0,0,BAD
799,803,0,0,0,0,0,BAD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,1.86E+06,,,,,,
1,1.61E+07,,,,,,
2,716812,,,,,,
3,80173,,,,,,
4,42229,,,,,,
5,26650,,,,,,
6,17097,,,,,,
7,11057,,,,,,
8,7316,,,,,,
9,5287,,,,,,
10,3535,,,,,,
11,2587,,,,,,
12,1945,,,,,,
13,1413,,,,,,
14,1155,,,,,,
15,897,,,,,,
16,717,,,,,,
17,557,,,,,,
18,416,,,,,,
19,357,,,,,,
20,303,,,,,,
21,288,,,,,,
22,250,,,,,,
23,213,,,,,,
24,210,,,,,,
25,183,,,,,,
26,163,,,,,,
27,153,,,,,,
28,162,,,,,,
29,166,,,,,,
30,163,,,,,,
31,115,,,,,,
32,137,,,,,,
33,120,,,,,,
34,118,,,,,,
35,113,,,,,,
36,131,,,,,,
37,100,,,,,,
38,109,,,,,,
39,115,,,,,,
40,111,,,,,,
41,100,,,,,,
42,91,,,,,,
43,120,,,,,,
44,114,,,,,,
45,125,,,,,,
46,115,,,,,,
47,100,,,,,,
48,92,,,,,,
49,128,,,,,,
50,144,,,,,,
51,155,,,,,,
52,174,,,,,,
53,169,,,,,,
54,192,,,,,,
55,170,,,,,,
56,135,,,,,,
57,125,,,,,,
58,108,,,,,,
59,120,,,,,,
60,115,,,,,,
61,117,,,,,,
62,93,,,,,,
63,99,,,,,,
64,90,,,,,,
65,95,,,,,,
66,96,,,,,,
67,91,,,,,,
68,89,,,,,,
69,82,,,,,,
70,99,,,,,,
71,78,,,,,,
72,65,,,,,,
73,81,,,,,,
74,82,,,,,,
75,95,,,,,,
76,102,,,,,,
77,113,,,,,,
78,91,,,,,,
79,85,,,,,,
80,100,,,,,,
81,108,,,,,,
82,85,,,,,,
83,100,,,,,,
84,109,,,,,,
85,78,,,,,,
86,94,,,,,,
87,99,,,,,,
88,111,,,,,,
89,109,,,,,,
90,108,,,,,,
91,100,,,,,,
92,114,,,,,,
93,99,,,,,,
94,102,,,,,,
95,101,,,,,,
96,113,,,,,,
97,110,,,,,,
98,92,,,,,,
99,123,,,,,,
100,116,,,,,,
101,96,,,,,,
102,104,,,,,,
103,101,,,,,,
104,99,,,,,,
105,106,,,,,,
106,106,,,,,,
107,92,,,,,,
108,102,,,,,,
109,101,,,,,,
110,100,,,,,,
111,106,,,,,,
112,105,,,,,,
113,101,,,,,,
114,104,,,,,,
115,113,,,,,,
116,88,,,,,,
117,100,,,,,,
118,97,,,,,,
119,105,,,,,,
120,104,,,,,,
121,97,,,,,,
122,91,,,,,,
123,142,,,,,,
124,129,,,,,,
125,128,,,,,,
126,125,,,,,,
127,133,,,,,,
128,125,,,,,,
129,138,,,,,,
130,121,,,,,,
131,126,,,,,,
132,135,,,,,,
133,174,,,,,,
134,165,,,,,,
135,160,,,,,,
136,162,,,,,,
137,174,,,,,,
138,170,,,,,,
139,165,,,,,,
140,162,,,,,,
141,155,,,,,,
142,156,,,,,,
143,164,,,,,,
144,144,,,,,,
145,150,,,,,,
146,167,,,,,,
147,151,,,,,,
148,124,,,,,,
149,141,,,,,,
150,138,,,,,,
151,134,,,,,,
152,128,,,,,,
153,124,,,,,,
154,149,,,,,,
155,128,,,,,,
156,145,,,,,,
157,137,,,,,,
158,132,,,,,,
159,113,,,,,,
160,97,,,,,,
161,127,,,,,,
162,107,,,,,,
163,115,,,,,,
164,98,,,,,,
165,119,,,,,,
166,106,,,,,,
167,84,,,,,,
168,115,,,,,,
169,91,,,,,,
170,91,,,,,,
171,81,,,,,,
172,113,,,,,,
173,88,,,,,,
174,87,,,,,,
175,98,,,,,,
176,83,,,,,,
177,84,,,,,,
178,87,,,,,,
179,91,,,,,,
180,63,,,,,,
181,86,,,,,,
182,78,,,,,,
183,58,,,,,,
184,64,,,,,,
185,86,,,,,,
186,78,,,,,,
187,61,,,,,,
188,68,,,,,,
189,77,,,,,,
190,65,,,,,,
191,74,,,,,,
192,86,,,,,,
193,64,,,,,,
194,64,,,,,,
195,91,,,,,,
196,78,,,,,,
197,61,,,,,,
198,66,,,,,,
199,68,,,,,,
200,62,,,,,,
201,50,,,,,,
202,64,,,,,,
203,64,,,,,,
204,58,,,,,,
205,70,,,,,,
206,64,,,,,,
207,57,,,,,,
208,72,,,,,,
209,49,,,,,,
210,60,,,,,,
211,69,,,,,,
212,52,,,,,,
213,56,,,,,,
214,71,,,,,,
215,55,,,,,,
216,43,,,,,,
217,43,,,,,,
218,53,,,,,,
219,57,,,,,,
220,61,,,,,,
221,49,,,,,,
222,55,,,,,,
223,53,,,,,,
224,62,,,,,,
225,63,,,,,,
226,54,,,,,,
227,63,,,,,,
228,49,,,,,,
229,56,,,,,,
230,50,,,,,,
231,48,,,,,,
232,50,,,,,,
233,50,,,,,,
234,34,,,,,,
235,53,,,,,,
236,57,,,,,,
237,42,,,,,,
238,46,,,,,,
239,54,,,,,,
240,53,,,,,,
