Filename:  live_data.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/14/2013 16:04:15,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
851,930,42.116,5126,9689,889.6,2.33,GOOD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,0,,,,,,
1,0,,,,,,
2,0,,,,,,
3,0,,,,,,
4,0,,,,,,
5,0,,,,,,
6,0,,,,,,
7,0,,,,,,
8,0,,,,,,
9,0,,,,,,
10,0,,,,,,
11,0,,,,,,
12,0,,,,,,
13,0,,,,,,
14,0,,,,,,
15,0,,,,,,
16,0,,,,,,
17,0,,,,,,
18,0,,,,,,
19,0,,,,,,
20,0,,,,,,
21,0,,,,,,
22,0,,,,,,
23,0,,,,,,
24,0,,,,,,
25,0,,,,,,
26,0,,,,,,
27,0,,,,,,
28,0,,,,,,
29,0,,,,,,
30,0,,,,,,
31,0,,,,,,
32,0,,,,,,
33,0,,,,,,
34,0,,,,,,
35,0,,,,,,
36,0,,,,,,
37,0,,,,,,
38,0,,,,,,
39,0,,,,,,
40,0,,,,,,
41,0,,,,,,
42,0,,,,,,
43,0,,,,,,
44,0,,,,,,
45,0,,,,,,
46,0,,,,,,
47,0,,,,,,
48,0,,,,,,
49,0,,,,,,
50,0,,,,,,
51,567,,,,,,
52,579,,,,,,
53,599,,,,,,
54,609,,,,,,
55,646,,,,,,
56,643,,,,,,
57,595,,,,,,
58,585,,,,,,
59,583,,,,,,
60,529,,,,,,
61,530,,,,,,
62,443,,,,,,
63,472,,,,,,
64,467,,,,,,
65,426,,,,,,
66,431,,,,,,
67,405,,,,,,
68,395,,,,,,
69,386,,,,,,
70,342,,,,,,
71,362,,,,,,
72,343,,,,,,
73,335,,,,,,
74,353,,,,,,
75,362,,,,,,
76,366,,,,,,
77,336,,,,,,
78,342,,,,,,
79,303,,,,,,
80,331,,,,,,
81,351,,,,,,
82,358,,,,,,
83,292,,,,,,
84,290,,,,,,
85,307,,,,,,
86,346,,,,,,
87,356,,,,,,
88,298,,,,,,
89,295,,,,,,
90,256,,,,,,
91,285,,,,,,
92,278,,,,,,
93,299,,,,,,
94,295,,,,,,
95,284,,,,,,
96,274,,,,,,
97,273,,,,,,
98,291,,,,,,
99,284,,,,,,
100,266,,,,,,
101,283,,,,,,
102,224,,,,,,
103,220,,,,,,
104,232,,,,,,
105,254,,,,,,
106,249,,,,,,
107,229,,,,,,
108,271,,,,,,
109,238,,,,,,
110,253,,,,,,
111,250,,,,,,
112,258,,,,,,
113,214,,,,,,
114,257,,,,,,
115,227,,,,,,
116,233,,,,,,
117,215,,,,,,
118,206,,,,,,
119,245,,,,,,
120,205,,,,,,
121,233,,,,,,
122,202,,,,,,
123,248,,,,,,
124,236,,,,,,
125,217,,,,,,
126,208,,,,,,
127,218,,,,,,
128,235,,,,,,
129,208,,,,,,
130,226,,,,,,
131,242,,,,,,
132,200,,,,,,
133,249,,,,,,
134,204,,,,,,
135,205,,,,,,
136,225,,,,,,
137,202,,,,,,
138,213,,,,,,
139,204,,,,,,
140,194,,,,,,
141,216,,,,,,
142,220,,,,,,
143,243,,,,,,
144,186,,,,,,
145,219,,,,,,
146,230,,,,,,
147,226,,,,,,
148,223,,,,,,
149,230,,,,,,
150,246,,,,,,
151,252,,,,,,
152,218,,,,,,
153,241,,,,,,
154,232,,,,,,
155,256,,,,,,
156,215,,,,,,
157,287,,,,,,
158,259,,,,,,
159,254,,,,,,
160,215,,,,,,
161,261,,,,,,
162,227,,,,,,
163,233,,,,,,
164,233,,,,,,
165,241,,,,,,
166,231,,,,,,
167,214,,,,,,
168,217,,,,,,
169,208,,,,,,
170,192,,,,,,
171,187,,,,,,
172,219,,,,,,
173,200,,,,,,
174,174,,,,,,
175,190,,,,,,
176,182,,,,,,
177,184,,,,,,
178,207,,,,,,
179,212,,,,,,
180,179,,,,,,
181,191,,,,,,
182,164,,,,,,
183,167,,,,,,
184,199,,,,,,
185,154,,,,,,
186,170,,,,,,
187,179,,,,,,
188,186,,,,,,
189,162,,,,,,
190,160,,,,,,
191,175,,,,,,
192,145,,,,,,
193,151,,,,,,
194,141,,,,,,
195,162,,,,,,
196,152,,,,,,
197,142,,,,,,
198,163,,,,,,
199,162,,,,,,
200,126,,,,,,
201,151,,,,,,
202,155,,,,,,
203,148,,,,,,
204,156,,,,,,
205,157,,,,,,
206,151,,,,,,
