Filename:  live_data.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/14/2013 16:29:20,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
851,930,2.579,807,1314,887.87,5.29,GOOD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,0,,,,,,
1,0,,,,,,
2,0,,,,,,
3,0,,,,,,
4,0,,,,,,
5,0,,,,,,
6,0,,,,,,
7,0,,,,,,
8,0,,,,,,
9,0,,,,,,
10,0,,,,,,
11,0,,,,,,
12,0,,,,,,
13,0,,,,,,
14,0,,,,,,
15,0,,,,,,
16,0,,,,,,
17,0,,,,,,
18,0,,,,,,
19,0,,,,,,
20,0,,,,,,
21,0,,,,,,
22,0,,,,,,
23,0,,,,,,
24,0,,,,,,
25,0,,,,,,
26,0,,,,,,
27,0,,,,,,
28,0,,,,,,
29,0,,,,,,
30,0,,,,,,
31,0,,,,,,
32,0,,,,,,
33,0,,,,,,
34,0,,,,,,
35,0,,,,,,
36,0,,,,,,
37,0,,,,,,
38,0,,,,,,
39,0,,,,,,
40,0,,,,,,
41,0,,,,,,
42,0,,,,,,
43,0,,,,,,
44,0,,,,,,
45,0,,,,,,
46,0,,,,,,
47,0,,,,,,
48,0,,,,,,
49,0,,,,,,
50,0,,,,,,
51,196,,,,,,
52,225,,,,,,
53,235,,,,,,
54,259,,,,,,
55,247,,,,,,
56,282,,,,,,
57,281,,,,,,
58,232,,,,,,
59,191,,,,,,
60,188,,,,,,
61,177,,,,,,
62,192,,,,,,
63,166,,,,,,
64,200,,,,,,
65,168,,,,,,
66,172,,,,,,
67,156,,,,,,
68,163,,,,,,
69,149,,,,,,
70,142,,,,,,
71,142,,,,,,
72,129,,,,,,
73,118,,,,,,
74,112,,,,,,
75,115,,,,,,
76,123,,,,,,
77,151,,,,,,
78,105,,,,,,
79,133,,,,,,
80,158,,,,,,
81,116,,,,,,
82,114,,,,,,
83,127,,,,,,
84,119,,,,,,
85,137,,,,,,
86,124,,,,,,
87,147,,,,,,
88,106,,,,,,
89,119,,,,,,
90,110,,,,,,
91,105,,,,,,
