Filename:  live_data.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/14/2013 16:06:36,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
851,930,42.323,3953,7229,889.68,2.59,GOOD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,0,,,,,,
1,0,,,,,,
2,0,,,,,,
3,0,,,,,,
4,0,,,,,,
5,0,,,,,,
6,0,,,,,,
7,0,,,,,,
8,0,,,,,,
9,0,,,,,,
10,0,,,,,,
11,0,,,,,,
12,0,,,,,,
13,0,,,,,,
14,0,,,,,,
15,0,,,,,,
16,0,,,,,,
17,0,,,,,,
18,0,,,,,,
19,0,,,,,,
20,0,,,,,,
21,0,,,,,,
22,0,,,,,,
23,0,,,,,,
24,0,,,,,,
25,0,,,,,,
26,0,,,,,,
27,0,,,,,,
28,0,,,,,,
29,0,,,,,,
30,0,,,,,,
31,0,,,,,,
32,0,,,,,,
33,0,,,,,,
34,0,,,,,,
35,0,,,,,,
36,0,,,,,,
37,0,,,,,,
38,0,,,,,,
39,0,,,,,,
40,0,,,,,,
41,0,,,,,,
42,0,,,,,,
43,0,,,,,,
44,0,,,,,,
45,0,,,,,,
46,0,,,,,,
47,0,,,,,,
48,0,,,,,,
49,0,,,,,,
50,0,,,,,,
51,446,,,,,,
52,417,,,,,,
53,483,,,,,,
54,567,,,,,,
55,525,,,,,,
56,499,,,,,,
57,489,,,,,,
58,474,,,,,,
59,388,,,,,,
60,388,,,,,,
61,365,,,,,,
62,391,,,,,,
63,355,,,,,,
64,316,,,,,,
65,333,,,,,,
66,323,,,,,,
67,301,,,,,,
68,308,,,,,,
69,326,,,,,,
70,286,,,,,,
71,238,,,,,,
72,291,,,,,,
73,253,,,,,,
74,235,,,,,,
75,248,,,,,,
76,252,,,,,,
77,262,,,,,,
78,226,,,,,,
79,286,,,,,,
80,266,,,,,,
81,280,,,,,,
82,268,,,,,,
83,272,,,,,,
84,278,,,,,,
85,252,,,,,,
86,212,,,,,,
87,211,,,,,,
88,233,,,,,,
89,230,,,,,,
90,203,,,,,,
91,258,,,,,,
92,214,,,,,,
93,194,,,,,,
94,211,,,,,,
95,204,,,,,,
96,172,,,,,,
97,215,,,,,,
98,198,,,,,,
99,222,,,,,,
100,211,,,,,,
101,232,,,,,,
102,184,,,,,,
103,205,,,,,,
104,202,,,,,,
105,161,,,,,,
106,186,,,,,,
107,197,,,,,,
108,166,,,,,,
109,162,,,,,,
110,177,,,,,,
111,172,,,,,,
112,200,,,,,,
113,170,,,,,,
114,152,,,,,,
115,176,,,,,,
116,193,,,,,,
117,173,,,,,,
118,168,,,,,,
119,171,,,,,,
120,170,,,,,,
121,186,,,,,,
122,196,,,,,,
123,187,,,,,,
124,169,,,,,,
125,182,,,,,,
126,166,,,,,,
127,184,,,,,,
128,164,,,,,,
129,149,,,,,,
130,161,,,,,,
131,140,,,,,,
132,147,,,,,,
133,164,,,,,,
134,160,,,,,,
135,175,,,,,,
136,158,,,,,,
137,146,,,,,,
138,162,,,,,,
139,168,,,,,,
140,146,,,,,,
141,154,,,,,,
142,135,,,,,,
143,146,,,,,,
144,150,,,,,,
145,159,,,,,,
146,166,,,,,,
147,147,,,,,,
148,159,,,,,,
149,156,,,,,,
150,158,,,,,,
151,158,,,,,,
152,163,,,,,,
153,156,,,,,,
154,169,,,,,,
155,155,,,,,,
156,168,,,,,,
157,157,,,,,,
158,173,,,,,,
159,171,,,,,,
160,151,,,,,,
161,154,,,,,,
162,143,,,,,,
163,129,,,,,,
164,158,,,,,,
165,127,,,,,,
166,147,,,,,,
167,138,,,,,,
168,143,,,,,,
169,139,,,,,,
170,125,,,,,,
171,134,,,,,,
172,120,,,,,,
173,111,,,,,,
174,142,,,,,,
175,138,,,,,,
176,135,,,,,,
177,132,,,,,,
178,142,,,,,,
179,134,,,,,,
180,112,,,,,,
181,103,,,,,,
182,112,,,,,,
183,104,,,,,,
184,109,,,,,,
185,112,,,,,,
186,113,,,,,,
187,100,,,,,,
188,96,,,,,,
189,127,,,,,,
190,119,,,,,,
191,101,,,,,,
192,113,,,,,,
193,109,,,,,,
194,108,,,,,,
195,91,,,,,,
196,83,,,,,,
197,100,,,,,,
198,110,,,,,,
199,87,,,,,,
200,111,,,,,,
201,99,,,,,,
202,91,,,,,,
203,97,,,,,,
204,93,,,,,,
205,94,,,,,,
206,89,,,,,,
207,92,,,,,,
208,99,,,,,,
209,71,,,,,,
210,98,,,,,,
211,92,,,,,,
212,101,,,,,,
213,77,,,,,,
214,87,,,,,,
215,93,,,,,,
216,78,,,,,,
217,106,,,,,,
218,81,,,,,,
219,94,,,,,,
220,86,,,,,,
221,84,,,,,,
222,99,,,,,,
223,84,,,,,,
224,88,,,,,,
225,94,,,,,,
226,89,,,,,,
227,94,,,,,,
228,95,,,,,,
229,119,,,,,,
230,96,,,,,,
231,83,,,,,,
232,94,,,,,,
233,81,,,,,,
234,91,,,,,,
235,83,,,,,,
236,81,,,,,,
237,92,,,,,,
238,99,,,,,,
239,93,,,,,,
240,81,,,,,,
241,80,,,,,,
242,91,,,,,,
243,100,,,,,,
244,86,,,,,,
245,78,,,,,,
246,96,,,,,,
247,81,,,,,,
248,71,,,,,,
249,99,,,,,,
250,73,,,,,,
251,79,,,,,,
252,75,,,,,,
253,84,,,,,,
254,96,,,,,,
255,78,,,,,,
256,63,,,,,,
257,96,,,,,,
258,73,,,,,,
259,88,,,,,,
260,96,,,,,,
261,86,,,,,,
262,78,,,,,,
263,79,,,,,,
