Filename:  live_data.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/14/2013 16:17:29,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
851,930,4.527,685,1660,893.99,7.49,GOOD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,0,,,,,,
1,0,,,,,,
2,0,,,,,,
3,0,,,,,,
4,0,,,,,,
5,0,,,,,,
6,0,,,,,,
7,0,,,,,,
8,0,,,,,,
9,0,,,,,,
10,0,,,,,,
11,0,,,,,,
12,0,,,,,,
13,0,,,,,,
14,0,,,,,,
15,0,,,,,,
16,0,,,,,,
17,0,,,,,,
18,0,,,,,,
19,0,,,,,,
20,0,,,,,,
21,0,,,,,,
22,0,,,,,,
23,0,,,,,,
24,0,,,,,,
25,0,,,,,,
26,0,,,,,,
27,0,,,,,,
28,0,,,,,,
29,0,,,,,,
30,0,,,,,,
31,0,,,,,,
32,0,,,,,,
33,0,,,,,,
34,0,,,,,,
35,0,,,,,,
36,0,,,,,,
37,0,,,,,,
38,0,,,,,,
39,0,,,,,,
40,0,,,,,,
41,0,,,,,,
42,0,,,,,,
43,0,,,,,,
44,0,,,,,,
45,0,,,,,,
46,0,,,,,,
47,0,,,,,,
48,0,,,,,,
49,0,,,,,,
50,0,,,,,,
51,209,,,,,,
52,261,,,,,,
53,218,,,,,,
54,291,,,,,,
55,285,,,,,,
56,291,,,,,,
57,269,,,,,,
58,277,,,,,,
59,260,,,,,,
60,209,,,,,,
61,209,,,,,,
62,205,,,,,,
63,202,,,,,,
64,221,,,,,,
65,222,,,,,,
66,202,,,,,,
67,158,,,,,,
68,172,,,,,,
69,151,,,,,,
70,127,,,,,,
71,121,,,,,,
72,137,,,,,,
73,147,,,,,,
74,146,,,,,,
75,139,,,,,,
76,124,,,,,,
77,136,,,,,,
78,160,,,,,,
79,134,,,,,,
80,120,,,,,,
81,126,,,,,,
82,121,,,,,,
83,120,,,,,,
84,126,,,,,,
85,143,,,,,,
86,128,,,,,,
87,127,,,,,,
88,114,,,,,,
89,94,,,,,,
90,138,,,,,,
91,106,,,,,,
92,133,,,,,,
93,134,,,,,,
94,105,,,,,,
95,111,,,,,,
96,99,,,,,,
97,101,,,,,,
98,82,,,,,,
99,93,,,,,,
100,112,,,,,,
101,100,,,,,,
102,85,,,,,,
103,115,,,,,,
104,98,,,,,,
105,93,,,,,,
106,93,,,,,,
107,119,,,,,,
108,91,,,,,,
109,102,,,,,,
110,95,,,,,,
111,97,,,,,,
112,83,,,,,,
113,100,,,,,,
114,97,,,,,,
115,88,,,,,,
116,99,,,,,,
117,75,,,,,,
118,69,,,,,,
119,77,,,,,,
120,80,,,,,,
121,98,,,,,,
122,85,,,,,,
123,81,,,,,,
124,97,,,,,,
125,58,,,,,,
126,110,,,,,,
127,74,,,,,,
128,70,,,,,,
129,85,,,,,,
130,72,,,,,,
131,73,,,,,,
132,93,,,,,,
133,77,,,,,,
134,92,,,,,,
135,90,,,,,,
136,55,,,,,,
137,83,,,,,,
138,72,,,,,,
139,72,,,,,,
140,86,,,,,,
141,81,,,,,,
142,65,,,,,,
143,99,,,,,,
144,80,,,,,,
145,75,,,,,,
146,83,,,,,,
147,62,,,,,,
148,75,,,,,,
149,81,,,,,,
150,80,,,,,,
151,70,,,,,,
152,61,,,,,,
153,58,,,,,,
154,67,,,,,,
155,75,,,,,,
156,73,,,,,,
157,68,,,,,,
158,77,,,,,,
159,85,,,,,,
160,76,,,,,,
161,63,,,,,,
162,60,,,,,,
163,62,,,,,,
164,79,,,,,,
165,62,,,,,,
166,70,,,,,,
167,66,,,,,,
168,63,,,,,,
169,52,,,,,,
170,50,,,,,,
171,51,,,,,,
172,37,,,,,,
173,55,,,,,,
174,59,,,,,,
175,54,,,,,,
176,44,,,,,,
177,49,,,,,,
178,59,,,,,,
179,29,,,,,,
180,38,,,,,,
181,39,,,,,,
182,45,,,,,,
183,46,,,,,,
184,43,,,,,,
185,35,,,,,,
186,42,,,,,,
187,34,,,,,,
188,39,,,,,,
189,38,,,,,,
190,29,,,,,,
191,32,,,,,,
192,36,,,,,,
193,33,,,,,,
194,25,,,,,,
195,26,,,,,,
196,33,,,,,,
197,31,,,,,,
198,22,,,,,,
199,36,,,,,,
200,28,,,,,,
201,38,,,,,,
202,30,,,,,,
203,35,,,,,,
204,35,,,,,,
205,46,,,,,,
206,26,,,,,,
207,28,,,,,,
208,20,,,,,,
209,35,,,,,,
210,29,,,,,,
211,28,,,,,,
212,25,,,,,,
213,20,,,,,,
214,29,,,,,,
215,38,,,,,,
216,27,,,,,,
217,36,,,,,,
218,37,,,,,,
219,27,,,,,,
220,23,,,,,,
221,25,,,,,,
222,18,,,,,,
223,27,,,,,,
224,25,,,,,,
225,20,,,,,,
226,25,,,,,,
227,22,,,,,,
228,18,,,,,,
229,25,,,,,,
230,30,,,,,,
231,18,,,,,,
232,27,,,,,,
233,17,,,,,,
234,25,,,,,,
235,28,,,,,,
236,22,,,,,,
237,15,,,,,,
238,20,,,,,,
239,25,,,,,,
240,23,,,,,,
241,24,,,,,,
242,22,,,,,,
243,16,,,,,,
244,28,,,,,,
245,22,,,,,,
246,20,,,,,,
247,17,,,,,,
248,17,,,,,,
249,28,,,,,,
250,21,,,,,,
251,34,,,,,,
252,25,,,,,,
253,16,,,,,,
254,31,,,,,,
255,16,,,,,,
256,27,,,,,,
257,18,,,,,,
258,20,,,,,,
259,18,,,,,,
260,23,,,,,,
261,22,,,,,,
262,20,,,,,,
263,12,,,,,,
264,28,,,,,,
265,23,,,,,,
266,20,,,,,,
267,22,,,,,,
268,20,,,,,,
269,18,,,,,,
270,25,,,,,,
271,20,,,,,,
272,23,,,,,,
273,13,,,,,,
274,27,,,,,,
275,21,,,,,,
276,34,,,,,,
277,28,,,,,,
278,23,,,,,,
279,19,,,,,,
280,20,,,,,,
281,17,,,,,,
282,16,,,,,,
283,31,,,,,,
284,23,,,,,,
285,29,,,,,,
286,19,,,,,,
287,18,,,,,,
288,21,,,,,,
289,13,,,,,,
290,13,,,,,,
291,20,,,,,,
292,17,,,,,,
293,28,,,,,,
294,15,,,,,,
295,15,,,,,,
296,20,,,,,,
297,22,,,,,,
298,29,,,,,,
299,30,,,,,,
300,17,,,,,,
301,21,,,,,,
302,27,,,,,,
303,19,,,,,,
304,21,,,,,,
305,21,,,,,,
306,18,,,,,,
307,25,,,,,,
308,21,,,,,,
309,14,,,,,,
310,23,,,,,,
311,15,,,,,,
312,15,,,,,,
313,18,,,,,,
314,14,,,,,,
315,21,,,,,,
316,21,,,,,,
317,18,,,,,,
318,18,,,,,,
319,22,,,,,,
320,12,,,,,,
321,17,,,,,,
322,18,,,,,,
323,9,,,,,,
324,20,,,,,,
325,18,,,,,,
326,28,,,,,,
327,17,,,,,,
328,16,,,,,,
329,19,,,,,,
330,22,,,,,,
331,20,,,,,,
332,14,,,,,,
333,27,,,,,,
334,21,,,,,,
335,28,,,,,,
336,22,,,,,,
337,15,,,,,,
338,28,,,,,,
339,20,,,,,,
340,21,,,,,,
341,24,,,,,,
342,19,,,,,,
343,10,,,,,,
344,23,,,,,,
345,15,,,,,,
346,18,,,,,,
347,17,,,,,,
348,11,,,,,,
349,20,,,,,,
350,15,,,,,,
351,12,,,,,,
352,20,,,,,,
353,19,,,,,,
354,21,,,,,,
355,16,,,,,,
356,19,,,,,,
357,20,,,,,,
358,16,,,,,,
359,16,,,,,,
360,11,,,,,,
361,13,,,,,,
362,23,,,,,,
363,20,,,,,,
364,18,,,,,,
365,9,,,,,,
366,17,,,,,,
367,21,,,,,,
368,19,,,,,,
369,17,,,,,,
370,18,,,,,,
371,29,,,,,,
372,24,,,,,,
373,17,,,,,,
374,19,,,,,,
375,16,,,,,,
376,15,,,,,,
377,20,,,,,,
378,24,,,,,,
379,17,,,,,,
380,19,,,,,,
381,18,,,,,,
382,21,,,,,,
383,28,,,,,,
384,23,,,,,,
385,17,,,,,,
386,18,,,,,,
387,26,,,,,,
388,24,,,,,,
389,11,,,,,,
390,25,,,,,,
391,18,,,,,,
392,15,,,,,,
393,18,,,,,,
394,18,,,,,,
395,16,,,,,,
396,16,,,,,,
397,19,,,,,,
398,21,,,,,,
399,18,,,,,,
400,16,,,,,,
401,22,,,,,,
402,19,,,,,,
403,18,,,,,,
404,26,,,,,,
405,22,,,,,,
406,19,,,,,,
407,11,,,,,,
408,16,,,,,,
409,19,,,,,,
410,22,,,,,,
411,19,,,,,,
412,18,,,,,,
413,23,,,,,,
414,16,,,,,,
415,17,,,,,,
416,15,,,,,,
417,20,,,,,,
418,20,,,,,,
419,19,,,,,,
420,16,,,,,,
421,20,,,,,,
422,20,,,,,,
423,23,,,,,,
424,19,,,,,,
425,22,,,,,,
426,13,,,,,,
427,19,,,,,,
428,17,,,,,,
429,20,,,,,,
430,14,,,,,,
431,21,,,,,,
432,17,,,,,,
433,21,,,,,,
434,22,,,,,,
435,19,,,,,,
436,24,,,,,,
437,17,,,,,,
438,16,,,,,,
439,17,,,,,,
440,18,,,,,,
441,15,,,,,,
442,23,,,,,,
443,19,,,,,,
444,14,,,,,,
445,19,,,,,,
446,13,,,,,,
447,23,,,,,,
448,4,,,,,,
449,24,,,,,,
450,20,,,,,,
451,15,,,,,,
452,21,,,,,,
453,15,,,,,,
454,20,,,,,,
455,18,,,,,,
456,16,,,,,,
457,21,,,,,,
458,21,,,,,,
459,20,,,,,,
460,21,,,,,,
461,16,,,,,,
462,20,,,,,,
463,26,,,,,,
464,26,,,,,,
465,17,,,,,,
466,20,,,,,,
467,17,,,,,,
468,15,,,,,,
469,20,,,,,,
470,22,,,,,,
471,12,,,,,,
472,21,,,,,,
473,20,,,,,,
474,16,,,,,,
475,23,,,,,,
476,24,,,,,,
477,23,,,,,,
478,15,,,,,,
479,16,,,,,,
480,15,,,,,,
481,18,,,,,,
482,13,,,,,,
483,20,,,,,,
484,14,,,,,,
485,11,,,,,,
486,20,,,,,,
487,19,,,,,,
488,32,,,,,,
489,14,,,,,,
490,17,,,,,,
491,16,,,,,,
492,15,,,,,,
493,13,,,,,,
494,18,,,,,,
495,20,,,,,,
496,18,,,,,,
497,17,,,,,,
498,24,,,,,,
499,12,,,,,,
500,17,,,,,,
501,24,,,,,,
502,15,,,,,,
503,19,,,,,,
504,12,,,,,,
505,21,,,,,,
506,20,,,,,,
507,17,,,,,,
508,14,,,,,,
509,14,,,,,,
510,15,,,,,,
511,17,,,,,,
512,23,,,,,,
513,12,,,,,,
514,14,,,,,,
515,19,,,,,,
516,21,,,,,,
517,21,,,,,,
518,11,,,,,,
519,19,,,,,,
520,23,,,,,,
521,21,,,,,,
522,22,,,,,,
523,12,,,,,,
524,21,,,,,,
525,22,,,,,,
526,21,,,,,,
527,17,,,,,,
528,13,,,,,,
529,13,,,,,,
530,17,,,,,,
531,7,,,,,,
532,26,,,,,,
533,28,,,,,,
534,17,,,,,,
535,20,,,,,,
536,17,,,,,,
537,14,,,,,,
538,18,,,,,,
539,21,,,,,,
540,18,,,,,,
541,22,,,,,,
542,18,,,,,,
543,15,,,,,,
544,22,,,,,,
545,18,,,,,,
546,20,,,,,,
547,32,,,,,,
548,19,,,,,,
549,16,,,,,,
550,17,,,,,,
551,12,,,,,,
552,15,,,,,,
553,21,,,,,,
554,19,,,,,,
555,24,,,,,,
556,20,,,,,,
557,23,,,,,,
558,25,,,,,,
559,21,,,,,,
560,12,,,,,,
561,21,,,,,,
562,15,,,,,,
563,17,,,,,,
564,17,,,,,,
565,19,,,,,,
566,22,,,,,,
567,24,,,,,,
568,25,,,,,,
569,15,,,,,,
570,27,,,,,,
571,20,,,,,,
572,34,,,,,,
