Filename:  live_data.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  11/14/2013 16:34:47,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
851,930,0,0,20,0,0,BAD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,0,,,,,,
1,0,,,,,,
2,0,,,,,,
3,0,,,,,,
4,0,,,,,,
5,0,,,,,,
6,0,,,,,,
7,0,,,,,,
8,0,,,,,,
9,0,,,,,,
10,0,,,,,,
11,0,,,,,,
12,0,,,,,,
13,0,,,,,,
14,0,,,,,,
15,0,,,,,,
16,0,,,,,,
17,0,,,,,,
18,0,,,,,,
19,0,,,,,,
20,0,,,,,,
21,0,,,,,,
22,0,,,,,,
23,0,,,,,,
24,0,,,,,,
25,0,,,,,,
26,0,,,,,,
27,0,,,,,,
28,0,,,,,,
29,0,,,,,,
30,0,,,,,,
31,0,,,,,,
32,0,,,,,,
33,0,,,,,,
34,0,,,,,,
35,0,,,,,,
36,0,,,,,,
37,0,,,,,,
38,0,,,,,,
39,0,,,,,,
40,0,,,,,,
41,0,,,,,,
42,0,,,,,,
43,0,,,,,,
44,0,,,,,,
45,0,,,,,,
46,0,,,,,,
47,0,,,,,,
48,0,,,,,,
49,0,,,,,,
50,0,,,,,,
51,156,,,,,,
52,145,,,,,,
53,158,,,,,,
54,126,,,,,,
55,133,,,,,,
56,130,,,,,,
57,150,,,,,,
58,146,,,,,,
59,105,,,,,,
60,113,,,,,,
61,135,,,,,,
62,122,,,,,,
63,117,,,,,,
64,119,,,,,,
65,122,,,,,,
66,121,,,,,,
67,105,,,,,,
68,107,,,,,,
69,81,,,,,,
70,99,,,,,,
71,126,,,,,,
72,78,,,,,,
73,76,,,,,,
74,100,,,,,,
75,99,,,,,,
76,88,,,,,,
77,87,,,,,,
78,58,,,,,,
79,91,,,,,,
80,75,,,,,,
81,66,,,,,,
82,63,,,,,,
83,67,,,,,,
84,55,,,,,,
85,68,,,,,,
86,69,,,,,,
87,57,,,,,,
88,65,,,,,,
89,73,,,,,,
90,64,,,,,,
91,56,,,,,,
92,57,,,,,,
93,70,,,,,,
94,78,,,,,,
95,60,,,,,,
96,61,,,,,,
97,58,,,,,,
98,49,,,,,,
99,59,,,,,,
100,52,,,,,,
101,68,,,,,,
102,61,,,,,,
103,47,,,,,,
104,45,,,,,,
105,52,,,,,,
106,50,,,,,,
107,80,,,,,,
108,47,,,,,,
109,47,,,,,,
110,51,,,,,,
111,55,,,,,,
112,49,,,,,,
113,50,,,,,,
114,34,,,,,,
115,53,,,,,,
116,38,,,,,,
117,32,,,,,,
118,36,,,,,,
119,48,,,,,,
120,45,,,,,,
121,38,,,,,,
122,37,,,,,,
123,43,,,,,,
124,49,,,,,,
125,57,,,,,,
126,40,,,,,,
127,34,,,,,,
128,33,,,,,,
129,49,,,,,,
130,36,,,,,,
131,41,,,,,,
132,46,,,,,,
133,45,,,,,,
134,46,,,,,,
135,44,,,,,,
136,33,,,,,,
137,35,,,,,,
138,37,,,,,,
139,38,,,,,,
140,37,,,,,,
141,45,,,,,,
142,44,,,,,,
143,35,,,,,,
144,47,,,,,,
145,33,,,,,,
146,26,,,,,,
147,43,,,,,,
148,36,,,,,,
149,39,,,,,,
150,39,,,,,,
151,33,,,,,,
152,36,,,,,,
153,46,,,,,,
154,26,,,,,,
155,19,,,,,,
156,42,,,,,,
157,37,,,,,,
158,50,,,,,,
159,36,,,,,,
160,40,,,,,,
161,37,,,,,,
162,20,,,,,,
163,41,,,,,,
164,25,,,,,,
165,23,,,,,,
166,20,,,,,,
167,28,,,,,,
168,21,,,,,,
169,25,,,,,,
170,26,,,,,,
171,16,,,,,,
172,24,,,,,,
173,22,,,,,,
174,13,,,,,,
175,20,,,,,,
176,22,,,,,,
177,19,,,,,,
178,18,,,,,,
179,17,,,,,,
180,15,,,,,,
181,10,,,,,,
182,13,,,,,,
183,17,,,,,,
184,18,,,,,,
185,12,,,,,,
186,11,,,,,,
187,12,,,,,,
188,11,,,,,,
189,13,,,,,,
190,7,,,,,,
191,20,,,,,,
192,9,,,,,,
193,13,,,,,,
194,8,,,,,,
195,8,,,,,,
196,9,,,,,,
197,13,,,,,,
198,15,,,,,,
199,8,,,,,,
200,15,,,,,,
201,4,,,,,,
202,8,,,,,,
203,15,,,,,,
204,9,,,,,,
205,4,,,,,,
206,12,,,,,,
207,5,,,,,,
208,11,,,,,,
209,6,,,,,,
210,5,,,,,,
211,10,,,,,,
212,7,,,,,,
213,6,,,,,,
214,3,,,,,,
215,9,,,,,,
216,8,,,,,,
217,7,,,,,,
218,2,,,,,,
219,2,,,,,,
220,6,,,,,,
221,9,,,,,,
222,10,,,,,,
223,4,,,,,,
224,9,,,,,,
225,9,,,,,,
226,6,,,,,,
227,8,,,,,,
228,9,,,,,,
229,6,,,,,,
230,6,,,,,,
231,9,,,,,,
232,8,,,,,,
233,7,,,,,,
234,6,,,,,,
235,6,,,,,,
236,6,,,,,,
237,7,,,,,,
238,4,,,,,,
239,3,,,,,,
240,7,,,,,,
241,3,,,,,,
242,8,,,,,,
243,3,,,,,,
244,5,,,,,,
245,7,,,,,,
246,8,,,,,,
247,4,,,,,,
248,3,,,,,,
249,4,,,,,,
250,5,,,,,,
251,7,,,,,,
252,4,,,,,,
253,1,,,,,,
254,5,,,,,,
255,2,,,,,,
256,2,,,,,,
257,1,,,,,,
258,3,,,,,,
259,9,,,,,,
260,6,,,,,,
261,5,,,,,,
262,4,,,,,,
263,4,,,,,,
264,4,,,,,,
265,2,,,,,,
266,5,,,,,,
267,2,,,,,,
268,5,,,,,,
269,3,,,,,,
270,7,,,,,,
271,2,,,,,,
272,2,,,,,,
273,3,,,,,,
274,5,,,,,,
275,2,,,,,,
276,7,,,,,,
277,5,,,,,,
278,7,,,,,,
279,4,,,,,,
280,2,,,,,,
281,2,,,,,,
282,3,,,,,,
283,1,,,,,,
284,1,,,,,,
285,2,,,,,,
286,2,,,,,,
287,3,,,,,,
288,1,,,,,,
289,1,,,,,,
290,2,,,,,,
291,1,,,,,,
292,4,,,,,,
293,2,,,,,,
294,3,,,,,,
295,5,,,,,,
296,5,,,,,,
297,0,,,,,,
