Filename:  C:\Users\csmuser\Desktop\silver_decay.mca,,,,,,
Description:  ,,,,,,livetime=640 seconds
TimeStamp:  11/18/2013 16:09:04,,,,,,
,,,,,,
Spectral Data Information,,,,,,
Channel,Data,,,,,
0,419,,,,,
1,358,,,,,
2,375,,,,,
3,368,,,,,
4,370,,,,,
5,327,,,,,
6,338,,,,,
7,327,,,,,
8,309,,,,,
9,281,,,,,
10,277,,,,,
11,249,,,,,
12,255,,,,,
13,237,,,,,
14,230,,,,,
15,199,,,,,
16,208,,,,,
17,187,,,,,
18,186,,,,,
19,205,,,,,
20,187,,,,,
21,187,,,,,
22,185,,,,,
23,183,,,,,
24,153,,,,,
25,180,,,,,
26,168,,,,,
27,150,,,,,
28,151,,,,,
29,150,,,,,
30,126,,,,,
31,145,,,,,
32,125,,,,,
33,117,,,,,
34,115,,,,,
35,120,,,,,
36,128,,,,,
37,135,,,,,
38,129,,,,,
39,120,,,,,
40,108,,,,,
41,104,,,,,
42,105,,,,,
43,98,,,,,
44,103,,,,,
45,99,,,,,
46,107,,,,,
47,107,,,,,
48,93,,,,,
49,102,,,,,
50,97,,,,,
51,86,,,,,
52,84,,,,,
53,86,,,,,
54,90,,,,,
55,93,,,,,
56,102,,,,,
57,85,,,,,
58,78,,,,,
59,69,,,,,
60,87,,,,,
61,96,,,,,
62,72,,,,,
63,69,,,,,
64,69,,,,,
65,80,,,,,
66,84,,,,,
67,69,,,,,
68,86,,,,,
69,71,,,,,
70,68,,,,,
71,72,,,,,
72,57,,,,,
73,55,,,,,
74,53,,,,,
75,60,,,,,
76,71,,,,,
77,77,,,,,
78,64,,,,,
79,54,,,,,
80,56,,,,,
81,56,,,,,
82,55,,,,,
83,58,,,,,
84,56,,,,,
85,58,,,,,
86,74,,,,,
87,46,,,,,
88,51,,,,,
89,77,,,,,
90,66,,,,,
91,51,,,,,
92,36,,,,,
93,58,,,,,
94,37,,,,,
95,50,,,,,
96,45,,,,,
97,56,,,,,
98,47,,,,,
99,36,,,,,
100,39,,,,,
101,43,,,,,
102,51,,,,,
103,48,,,,,
104,57,,,,,
105,43,,,,,
106,52,,,,,
107,50,,,,,
108,29,,,,,
109,49,,,,,
110,46,,,,,
111,44,,,,,
112,44,,,,,
113,32,,,,,
114,53,,,,,
115,47,,,,,
116,38,,,,,
117,32,,,,,
118,32,,,,,
119,49,,,,,
120,36,,,,,
121,38,,,,,
122,26,,,,,
123,35,,,,,
124,26,,,,,
125,33,,,,,
126,31,,,,,
127,39,,,,,
128,32,,,,,
129,26,,,,,
130,31,,,,,
131,32,,,,,
132,22,,,,,
133,28,,,,,
134,41,,,,,
135,28,,,,,
136,30,,,,,
137,28,,,,,
138,22,,,,,
139,24,,,,,
140,30,,,,,
141,25,,,,,
142,23,,,,,
143,34,,,,,
144,30,,,,,
145,29,,,,,
146,27,,,,,
147,33,,,,,
148,23,,,,,
149,35,,,,,
150,27,,,,,
151,21,,,,,
152,24,,,,,
153,20,,,,,
154,25,,,,,
155,27,,,,,
156,26,,,,,
157,26,,,,,
158,27,,,,,
159,21,,,,,
160,20,,,,,
161,27,,,,,
162,26,,,,,
163,18,,,,,
164,24,,,,,
165,19,,,,,
166,19,,,,,
167,20,,,,,
168,28,,,,,
169,20,,,,,
170,21,,,,,
171,21,,,,,
172,24,,,,,
173,13,,,,,
174,27,,,,,
175,23,,,,,
176,21,,,,,
177,27,,,,,
178,17,,,,,
179,15,,,,,
180,17,,,,,
181,11,,,,,
182,18,,,,,
183,19,,,,,
184,15,,,,,
185,23,,,,,
186,17,,,,,
187,15,,,,,
188,18,,,,,
189,18,,,,,
190,20,,,,,
191,17,,,,,
192,16,,,,,
193,19,,,,,
194,16,,,,,
195,11,,,,,
196,14,,,,,
197,22,,,,,
198,14,,,,,
199,16,,,,,
200,19,,,,,
201,13,,,,,
202,14,,,,,
203,4,,,,,
204,14,,,,,
205,13,,,,,
206,20,,,,,
207,15,,,,,
208,12,,,,,
209,13,,,,,
210,19,,,,,
211,11,,,,,
212,5,,,,,
213,13,,,,,
214,16,,,,,
215,14,,,,,
216,15,,,,,
217,7,,,,,
218,10,,,,,
219,11,,,,,
220,8,,,,,
221,12,,,,,
222,12,,,,,
223,14,,,,,
224,7,,,,,
225,14,,,,,
226,10,,,,,
227,9,,,,,
228,11,,,,,
229,15,,,,,
230,7,,,,,
231,13,,,,,
232,7,,,,,
233,13,,,,,
234,7,,,,,
235,8,,,,,
236,10,,,,,
237,13,,,,,
238,13,,,,,
239,10,,,,,
240,12,,,,,
241,11,,,,,
242,6,,,,,
243,12,,,,,
244,8,,,,,
245,7,,,,,
246,12,,,,,
247,5,,,,,
248,9,,,,,
249,8,,,,,
250,6,,,,,
251,6,,,,,
252,9,,,,,
253,10,,,,,
254,7,,,,,
255,12,,,,,
