Filename:  live_data.mca,,,,,,,
Description:  ,,,,,,,
TimeStamp:  03/03/2014 20:35:41,,,,,,,
,,,,,,,
ROI Information,,,,,,,
Start,End,FWHM (N),Net Area,Gross Area,Centroid (N),Uncertainty,Status
97,114,9.331,2531,5179,105.65,3.5,GOOD
,,,,,,,
Spectral Data Information,,,,,,,
Channel,Data,,,,,,
0,3,,,,,,
1,0,,,,,,
2,198,,,,,,
3,175,,,,,,
4,250,,,,,,
5,228,,,,,,
6,254,,,,,,
7,222,,,,,,
8,281,,,,,,
9,309,,,,,,
10,333,,,,,,
11,318,,,,,,
12,475,,,,,,
13,426,,,,,,
14,421,,,,,,
15,500,,,,,,
16,570,,,,,,
17,703,,,,,,
18,793,,,,,,
19,1151,,,,,,
20,1777,,,,,,
21,1889,,,,,,
22,1278,,,,,,
23,1072,,,,,,
24,1058,,,,,,
25,840,,,,,,
26,761,,,,,,
27,697,,,,,,
28,792,,,,,,
29,733,,,,,,
30,775,,,,,,
31,792,,,,,,
32,729,,,,,,
33,804,,,,,,
34,772,,,,,,
35,702,,,,,,
36,756,,,,,,
37,767,,,,,,
38,699,,,,,,
39,740,,,,,,
40,764,,,,,,
41,771,,,,,,
42,790,,,,,,
43,728,,,,,,
44,757,,,,,,
45,757,,,,,,
46,714,,,,,,
47,775,,,,,,
48,733,,,,,,
49,690,,,,,,
50,699,,,,,,
51,679,,,,,,
52,655,,,,,,
53,616,,,,,,
54,592,,,,,,
55,531,,,,,,
56,516,,,,,,
57,533,,,,,,
58,480,,,,,,
59,465,,,,,,
60,449,,,,,,
61,424,,,,,,
62,425,,,,,,
63,395,,,,,,
64,408,,,,,,
65,354,,,,,,
66,362,,,,,,
67,351,,,,,,
68,338,,,,,,
69,330,,,,,,
70,303,,,,,,
71,283,,,,,,
72,288,,,,,,
73,255,,,,,,
74,268,,,,,,
75,262,,,,,,
76,242,,,,,,
77,236,,,,,,
78,224,,,,,,
79,223,,,,,,
80,212,,,,,,
81,233,,,,,,
82,211,,,,,,
83,184,,,,,,
84,196,,,,,,
85,204,,,,,,
86,172,,,,,,
87,172,,,,,,
88,169,,,,,,
89,184,,,,,,
90,167,,,,,,
91,184,,,,,,
92,158,,,,,,
93,145,,,,,,
94,160,,,,,,
95,174,,,,,,
96,174,,,,,,
97,198,,,,,,
98,247,,,,,,
99,252,,,,,,
100,277,,,,,,
101,315,,,,,,
102,345,,,,,,
103,351,,,,,,
104,409,,,,,,
105,424,,,,,,
106,417,,,,,,
107,411,,,,,,
108,425,,,,,,
109,364,,,,,,
110,319,,,,,,
111,238,,,,,,
112,207,,,,,,
113,178,,,,,,
114,133,,,,,,
115,115,,,,,,
116,101,,,,,,
117,97,,,,,,
118,77,,,,,,
119,58,,,,,,
120,66,,,,,,
121,63,,,,,,
122,49,,,,,,
123,52,,,,,,
124,61,,,,,,
125,50,,,,,,
126,128,,,,,,
127,67,,,,,,
128,44,,,,,,
129,50,,,,,,
130,48,,,,,,
131,48,,,,,,
132,45,,,,,,
133,55,,,,,,
134,44,,,,,,
135,52,,,,,,
136,42,,,,,,
137,29,,,,,,
138,28,,,,,,
139,36,,,,,,
140,44,,,,,,
141,47,,,,,,
142,41,,,,,,
143,36,,,,,,
144,35,,,,,,
145,40,,,,,,
146,38,,,,,,
147,29,,,,,,
148,38,,,,,,
149,38,,,,,,
150,37,,,,,,
151,45,,,,,,
152,41,,,,,,
153,35,,,,,,
154,33,,,,,,
155,38,,,,,,
156,27,,,,,,
157,39,,,,,,
158,24,,,,,,
159,36,,,,,,
160,27,,,,,,
161,32,,,,,,
162,21,,,,,,
163,27,,,,,,
164,36,,,,,,
165,26,,,,,,
166,24,,,,,,
167,32,,,,,,
168,25,,,,,,
169,27,,,,,,
170,19,,,,,,
171,24,,,,,,
172,25,,,,,,
173,37,,,,,,
174,32,,,,,,
175,25,,,,,,
176,16,,,,,,
177,31,,,,,,
178,30,,,,,,
179,26,,,,,,
180,18,,,,,,
181,20,,,,,,
182,31,,,,,,
183,26,,,,,,
184,33,,,,,,
185,19,,,,,,
186,23,,,,,,
187,26,,,,,,
188,22,,,,,,
189,21,,,,,,
190,83,,,,,,
191,21,,,,,,
192,22,,,,,,
193,22,,,,,,
194,17,,,,,,
195,27,,,,,,
196,33,,,,,,
197,22,,,,,,
198,25,,,,,,
199,15,,,,,,
200,17,,,,,,
201,14,,,,,,
202,13,,,,,,
203,14,,,,,,
204,23,,,,,,
205,20,,,,,,
206,25,,,,,,
207,16,,,,,,
208,18,,,,,,
209,23,,,,,,
210,14,,,,,,
211,16,,,,,,
212,16,,,,,,
213,22,,,,,,
214,19,,,,,,
215,20,,,,,,
216,29,,,,,,
217,22,,,,,,
218,11,,,,,,
219,16,,,,,,
220,21,,,,,,
221,18,,,,,,
222,14,,,,,,
223,24,,,,,,
224,18,,,,,,
225,24,,,,,,
226,19,,,,,,
227,26,,,,,,
228,15,,,,,,
229,21,,,,,,
230,22,,,,,,
231,19,,,,,,
232,18,,,,,,
233,18,,,,,,
234,14,,,,,,
235,21,,,,,,
236,21,,,,,,
237,22,,,,,,
238,8,,,,,,
239,12,,,,,,
240,18,,,,,,
241,15,,,,,,
242,19,,,,,,
243,24,,,,,,
244,21,,,,,,
245,19,,,,,,
246,20,,,,,,
247,18,,,,,,
248,11,,,,,,
249,18,,,,,,
250,13,,,,,,
251,10,,,,,,
252,22,,,,,,
253,19,,,,,,
254,76,,,,,,
255,10,,,,,,
