q,Omega,S/k,kT/e,q_cut,C/(Nk)
0,1.010000e+04,9.22029070282935,0.23346608858454726,1,33.29382902649136
1,1.030200e+06,13.845263516113622,0.26711683267626746,2,40.604679365820246
2,5.305530e+07,17.78684532378331,0.29353728070872837,3,46.037646770093986
3,1.839250e+09,21.332623934256578,0.31637223947264614,4,50.41427293350721
4,4.828032e+10,24.60028992329421,0.3369799877173585,5,54.0793681589783
5,1.023543e+12,27.654291104972174,0.35604354451433257,6,57.223125095863686
6,1.825318e+13,30.535360470206026,0.3739626683233995,7,59.96526526049244
7,2.816205e+14,33.27158154827493,0.39099444935655286,8,62.38735999251567
8,3.837079e+15,35.883487888824234,0.407315309912024,9,64.54803168836801
9,4.689764e+16,38.386743677280435,0.42305222516626706,10,66.49107146027814
10,5.205638e+17,40.793688785598725,0.43829998826218375,11,68.25017122486754
11,5.300286e+18,43.11429238409545,0.4531314516860984,12,69.85186575971625
12,4.991102e+19,45.356773553019785,0.46760394404876326,13,71.3174546821323
13,4.376813e+20,47.52802264395275,0.48176347143600473,14,72.66430841858786
14,3.595239e+21,49.633897442700736,0.49564756967890056,15,73.90678454507675
15,2.780318e+22,51.679437432704894,0.5092873004454114,16,75.0568881636024
16,2.033108e+23,53.669022645262864,0.5227086847349909,17,76.12475871685335
17,1.411216e+24,55.60649392567231,0.53593375554012,18,77.119035909951
18,9.329705e+24,57.49524566088768,0.5489813460046182,19,78.04713945513684
19,5.892445e+25,59.338298424503286,0.561867689703085,20,78.91548613716789
20,3.564930e+26,61.13835669654603,0.5746068848003052,21,79.72966047592305
21,2.071054e+27,62.89785530355587,0.5872112578403157,22,80.49455049241926
22,1.157908e+28,64.61899720556998,0.5996916523518234,23,81.21445686103613
23,6.242632e+28,66.30378455524585,0.6120576603329708,24,81.89318150742622
24,3.251371e+29,67.95404446220022,0.6243178097787228,25,82.53410014927128
25,1.638691e+30,69.5714505442835,0.6364797179839932,26,83.14022216286922
26,8.004375e+30,71.15754109272059,0.6485502179152723,27,83.71424035069109
27,3.794667e+31,72.71373449063589,0.6605354631813305,28,84.25857259097336
28,1.748257e+32,74.24134238482236,0.672441015844295,29,84.77539690984712
29,7.837015e+32,75.74158100529147,0.6842719203571344,30,85.26668118469556
30,3.422163e+33,77.21558094683046,0.6960327661976065,31,85.73420843498415
31,1.457179e+34,78.66439566493169,0.7077277412265759,32,86.1795984629489
32,6.056401e+34,80.08900889035372,0.7193606773839176,33,86.60432645742993
33,2.459266e+35,81.49034112883814,0.7309350900152786,34,87.00973905699408
34,9.764732e+35,82.86925538266041,0.7424542118735957,35,87.39706827560106
35,3.794296e+36,84.22656220690705,0.753921022643923,36,87.76744362197144
36,1.443940e+37,85.56302419427907,0.7653382746855556,37,88.12190268521388
37,5.385507e+37,86.87935996679204,0.7767085155623031,38,88.46140041272425
38,1.969962e+38,88.17624774019635,0.7880341078332389,39,88.78681726797777
39,7.071658e+38,89.45432851667601,0.7993172464965731,40,89.09896642542694
40,2.492759e+39,90.71420895294024,0.8105599744150263,41,89.398600135077
41,8.633460e+39,91.95646394383719,0.8217641959982145,42,89.68641536781885
42,2.939487e+40,93.18163895581372,0.8329316893745233,43,89.96305883633524
43,9.843865e+40,94.39025213969617,0.8440641172493613,44,90.22913147127001
44,3.244001e+41,95.58279624819849,0.8551630366171564,45,90.48519242178222
45,1.052498e+42,96.75974038013649,0.8662299074701928,46,90.73176263953896
46,3.363418e+42,97.92153157042614,0.8772661006265395,47,90.96932809584177
47,1.059119e+43,99.0685962424802,0.8882729047824531,48,91.19834267574598
48,3.287681e+43,100.20134153751778,0.8992515328800665,49,91.41923078688754
