q_A,Omega_A,S_A/k,Omega_B,S_B/k,Omega_tot
0,1.010000e+04,9.22029070282935,2.074560e+112,11.410892739405076,2.095305e+116
1,1.030200e+06,13.845263516113622,5.877919e+111,17.121319756779947,6.055432e+117
2,5.305530e+07,17.78684532378331,1.655357e+111,22.14190538172937,8.782544e+118
3,1.839250e+09,21.332623934256578,4.633415e+110,26.760320794467482,8.522010e+119
4,4.828032e+10,24.60028992329421,1.288911e+110,31.094338209955,6.222906e+120
5,1.023543e+12,27.654291104972174,3.563097e+109,35.20848539947328,3.646982e+121
6,1.825318e+13,30.535360470206026,9.787784e+108,39.14357367783243,1.786582e+122
7,2.816205e+14,33.27158154827493,2.671545e+108,42.92776331175069,7.523618e+122
8,3.837079e+15,35.883487888824234,7.244867e+107,46.58166304696859,2.779913e+123
9,4.689764e+16,38.386743677280435,1.951894e+107,50.12101076711157,9.153921e+123
10,5.205638e+17,40.793688785598725,5.224047e+106,53.55821858629675,2.719449e+124
11,5.300286e+18,43.11429238409545,1.388832e+106,56.903326501307866,7.361206e+124
12,4.991102e+19,45.356773553019785,3.667331e+105,60.16462304206002,1.830403e+125
13,4.376813e+20,47.52802264395275,9.617756e+104,63.34906667050674,4.209512e+125
14,3.595239e+21,49.633897442700736,2.504870e+104,66.4625819797171,9.005607e+125
15,2.780318e+22,51.679437432704894,6.478112e+103,69.51027399220182,1.801121e+126
16,2.033108e+23,53.669022645262864,1.663515e+103,72.49658704383931,3.382106e+126
17,1.411216e+24,55.60649392567231,4.241141e+102,75.42542508256328,5.985165e+126
18,9.329705e+24,57.49524566088768,1.073440e+102,78.30024442745196,1.001488e+127
19,5.892445e+25,59.338298424503286,2.696951e+101,81.12412644407928,1.589164e+127
20,3.564930e+26,61.13835669654603,6.725564e+100,83.89983529365531,2.397616e+127
21,2.071054e+27,62.89785530355587,1.664577e+100,86.62986440147628,3.447430e+127
22,1.157908e+28,64.61899720556998,4.088435e+99,89.31647427134064,4.734030e+127
23,6.242632e+28,66.30378455524585,9.964277e+98,91.9617235712038,6.220332e+127
24,3.251371e+29,67.95404446220022,2.409498e+98,94.5674949231856,7.834171e+127
25,1.638691e+30,69.5714505442835,5.780361e+97,97.13551647968411,9.472225e+127
26,8.004375e+30,71.15754109272059,1.375579e+97,99.66738011255988,1.101065e+128
27,3.794667e+31,72.71373449063589,3.246926e+96,102.16455685493969,1.232100e+128
28,1.748257e+32,74.24134238482236,7.600947e+95,104.62841009552987,1.328841e+128
29,7.837015e+32,75.74158100529147,1.764505e+95,107.0602069200039,1.382846e+128
30,3.422163e+33,77.21558094683046,4.061522e+94,109.46112791371883,1.389919e+128
31,1.457179e+34,78.66439566493169,9.268601e+93,111.83227567815017,1.350601e+128
32,6.056401e+34,80.08900889035372,2.096753e+93,114.17468226533089,1.269878e+128
33,2.459266e+35,81.49034112883814,4.701482e+92,116.48931569684112,1.156219e+128
34,9.764732e+35,82.86925538266041,1.044774e+92,118.77708570405001,1.020194e+128
35,3.794296e+36,84.22656220690705,2.300668e+91,121.0388488025238,8.729413e+127
36,1.443940e+37,85.56302419427907,5.019638e+90,123.27541279442005,7.248058e+127
37,5.385507e+37,86.87935996679204,1.084974e+90,125.48754077725884,5.843135e+127
38,1.969962e+38,88.17624774019635,2.322921e+89,127.67595472491291,4.576065e+127
39,7.071658e+38,89.45432851667601,4.925565e+88,129.84133869639348,3.483191e+127
40,2.492759e+39,90.71420895294024,1.034239e+88,131.98434171956305,2.578110e+127
41,8.633460e+39,91.95646394383719,2.150129e+87,134.10558038992136,1.856305e+127
42,2.939487e+40,93.18163895581372,4.425068e+86,136.20564121880392,1.300743e+127
43,9.843865e+40,94.39025213969617,9.014027e+85,138.28508276048376,8.873286e+126
44,3.244001e+41,95.58279624819849,1.817151e+85,140.34443754359688,5.894841e+126
45,1.052498e+42,96.75974038013649,3.624637e+84,142.38421382888424,3.814923e+126
46,3.363418e+42,97.92153157042614,7.152617e+83,144.404897212342,2.405724e+126
47,1.059119e+43,99.0685962424802,1.396099e+83,146.40695209040643,1.478635e+126
48,3.287681e+43,100.20134153751778,2.694883e+82,148.390823001701,8.859916e+125
49,1.006433e+44,101.3201565335034,5.143459e+81,150.35693585807383,5.176547e+125
50,3.039428e+44,102.42541336489018,9.704640e+80,152.30569907611152,2.949655e+125
51,9.058687e+44,103.51746825301213,1.809784e+80,154.2375046189853,1.639427e+125
52,2.665344e+45,104.59666245582314,3.335104e+79,156.15272895733716,8.889200e+124
53,7.744586e+45,105.66332314468464,6.072064e+78,158.05173395691884,4.702562e+124
54,2.222983e+46,106.71776421503962,1.091979e+78,159.93486769982997,2.427450e+124
55,6.305188e+46,107.76028703705667,1.939307e+77,161.8024652454495,1.222769e+124
56,1.767704e+47,108.79118115166983,3.400428e+76,163.654849336494,6.010952e+123
57,4.899953e+47,109.81072491686226,5.885356e+75,165.49233105506016,2.883797e+123
58,1.343263e+48,110.81918610853607,1.005212e+75,167.31521043300202,1.350264e+123
59,3.642747e+48,111.81682247986417,1.693866e+74,169.12377702054647,6.170325e+122
60,9.774704e+48,112.80388228262653,2.815290e+73,170.91831041665725,2.751863e+122
61,2.595905e+49,113.78060475368561,4.613947e+72,172.69908076430968,1.197737e+122
62,6.824718e+49,114.74722056944728,7.454288e+71,174.46634921352944,5.087341e+121
63,1.776593e+50,115.70395227087995,1.186856e+71,176.22036835477465,2.108560e+121
64,4.580279e+50,116.65101466142086,1.861735e+70,177.9613826249975,8.527266e+120
65,1.169733e+51,117.58861517988176,2.876276e+69,179.68962868850323,3.364474e+120
66,2.959779e+51,118.51695425027208,4.375180e+68,181.40533579453137,1.294956e+120
67,7.421535e+51,119.43622561028438,6.550411e+67,183.1087261133093,4.861410e+119
68,1.844470e+52,120.34661662003136,9.649330e+66,184.80001505217373,1.779790e+119
69,4.544346e+52,121.24830855248436,1.398056e+66,186.47941155321476,6.353251e+118
70,1.110119e+53,122.14147686693765,1.991533e+65,188.14711837377283,2.210838e+118
71,2.689302e+53,123.02629146670978,2.788147e+64,189.80333235100466,7.498167e+117
72,6.461794e+53,123.90291694219151,3.834700e+63,191.44824465163242,2.477904e+117
73,1.540208e+54,124.77151280025765,5.179049e+62,193.08204100789854,7.976815e+116
74,3.642385e+54,125.632233680977,6.865598e+61,194.7049019406648,2.500715e+116
75,8.547463e+54,126.48522956247884,8.929246e+60,196.3170029705184,7.632240e+115
76,1.990659e+55,127.33064595476634,1.138802e+60,197.91851481768006,2.266967e+115
77,4.601784e+55,128.16862408320475,1.423503e+59,199.50960359144597,6.550653e+114
78,1.056050e+56,128.9993010623559,1.743065e+58,201.09043096983882,1.840764e+114
79,2.406191e+56,129.8228100607791,2.089639e+57,202.66115437009222,5.028070e+113
80,5.444006e+56,130.63928045737103,2.451190e+56,204.221927110545,1.334429e+113
81,1.223221e+57,131.44883798977537,2.811659e+55,205.77289856447916,3.439281e+112
82,2.729872e+57,132.25160489535256,3.151712e+54,207.31421430639557,8.603769e+111
83,6.051764e+57,133.04770004516493,3.450099e+53,208.84601625118668,2.087918e+111
84,1.332829e+58,133.83723907139995,3.685565e+52,210.36844278663116,4.912228e+110
85,2.916543e+58,134.62033448862283,3.839131e+51,211.8816288996057,1.119699e+110
86,6.341786e+58,135.3970958092239,3.896431e+50,213.38570629638195,2.471033e+109
87,1.370409e+59,136.16762965339927,3.849767e+49,214.88080351735064,5.275755e+108
88,2.943265e+59,136.9320398539807,3.699476e+48,216.36704604649088,1.088854e+108
89,6.283374e+59,137.69042755640908,3.454330e+47,217.84455641588244,2.170485e+107
90,1.333472e+60,138.44289131412543,3.130813e+46,219.31345430553753,4.174850e+106
91,2.813478e+60,139.18952717963637,2.751320e+45,220.77385663881114,7.740780e+105
92,5.902188e+60,139.93042879149223,2.341549e+44,222.22587767363137,1.382026e+105
93,1.231209e+61,140.6656874574023,1.927495e+43,223.66962908977607,2.373149e+104
94,2.554104e+61,141.39539223369601,1.532565e+42,225.10522007240715,3.914330e+103
95,5.269520e+61,142.119630001326,1.175280e+41,226.5327573920611,6.193160e+102
96,1.081349e+62,142.83848553859613,8.678988e+39,227.95234548128045,9.385019e+101
97,2.207291e+62,143.5520415907873,6.161010e+38,229.36408650806152,1.359914e+101
98,4.482151e+62,144.26037893684122,4.196354e+37,230.7680804462808,1.880869e+100
99,9.054851e+62,144.96357645325466,2.736752e+36,232.1644251432542,2.478089e+99
100,1.820025e+63,145.66171117532565,1.705142e+35,233.5532163845727,3.103401e+98
101,3.640050e+63,146.3548583558856,1.012428e+34,234.93454795635043,3.685288e+97
102,7.244414e+63,147.04309152164313,5.712759e+32,236.30851170501285,4.138559e+96
103,1.434816e+64,147.7264825272577,3.053991e+31,237.67519759474436,4.381915e+95
104,2.828243e+64,148.40510160725475,1.541446e+30,239.03469376270954,4.359585e+94
