q_A,Omega_A,kT_A/e,e/kT_A,Omega_B,kT_B/e,e/kT_B,Omega_tot
0,2.000000e+00,1.1162212531024944,0.8958797346140276,1.772491e+248,0.21597350724225936,4.630197531025374,3.544982e+248
1,6.000000e+00,1.6611670901650748,0.601986402162968,1.737392e+246,0.21550317110594142,4.640302947135751,1.042435e+247
2,1.200000e+01,2.182713335874583,0.4581453659370775,1.685953e+244,0.21503001482192818,4.650513561225978,2.023144e+245
3,2.000000e+01,2.6956454129283682,0.3709686723646888,1.619504e+242,0.21455398805494041,4.660831565358421,3.239007e+243
4,3.000000e+01,3.204335804346906,0.3120771545364971,1.539787e+240,0.2140750390261122,4.671259220828745,4.619362e+241
5,4.200000e+01,3.710599228902771,0.26949825036634345,1.448889e+238,0.21359311445568754,4.681798861111986,6.085333e+239
6,5.600000e+01,4.2153364175827015,0.23722898979755766,1.349139e+236,0.21310815950273718,4.692452894968369,7.555176e+237
7,7.200000e+01,4.719048534145578,0.21190712338818063,1.243015e+234,0.2126201177018172,4.703223809716917,8.949705e+235
8,9.000000e+01,5.222037751987231,0.19149612612805278,1.133036e+232,0.21212893089631832,4.7141141746892,1.019733e+234
9,1.100000e+02,5.724497539836255,0.17468782072856026,1.021664e+230,0.21163453916830802,4.725126644874933,1.123830e+232
10,1.320000e+02,6.226557701200045,0.16060238224521228,9.112053e+227,0.21113688076461837,4.7362639647728315,1.202791e+230
11,1.560000e+02,6.728308661522361,0.1486257617339657,8.037391e+225,0.2106358920189614,4.747528972460117,1.253833e+228
12,1.820000e+02,7.229815393180285,0.13831611813259803,7.010510e+223,0.21013150726981117,4.758924603895736,1.275913e+226
13,2.100000e+02,7.731125806454773,0.12934726778926464,6.045940e+221,0.20962365877375722,4.770453897473857,1.269647e+224
14,2.400000e+02,8.232276018662477,0.12147308930519474,5.154662e+219,0.2091122766140076,4.782119998845701,1.237119e+222
15,2.720000e+02,8.73329378012193,0.11450433538330353,4.344104e+217,0.20859728860374263,4.793926166028115,1.181596e+220
16,3.060000e+02,9.234200769105799,0.10829307538402544,3.618292e+215,0.20807862018394355,4.805875774820066,1.107197e+218
17,3.420000e+02,9.735014169404796,0.10272198710740454,2.978166e+213,0.2075561943153119,4.817972324549544,1.018533e+216
18,3.800000e+02,10.235747779575872,0.09769681918065354,2.421993e+211,0.20702993136386974,4.8302194441751,9.203574e+213
19,4.200000e+02,10.736412808652563,0.09314097900502594,1.945858e+209,0.2064997489797637,4.842620898769212,8.172605e+211
20,4.620000e+02,11.23701845719488,0.08899157759767817,1.544179e+207,0.20596556196880625,4.855180596411799,7.134107e+209
21,5.060000e+02,11.737572348412963,0.08519649296434029,1.210220e+205,0.20542728215619374,4.867902595526061,6.123711e+207
22,5.520000e+02,12.238080852687197,0.08171215830629386,9.365723e+202,0.20488481824184496,4.880791112690474,5.169879e+205
23,6.000000e+02,12.738549335051854,0.07850187440483225,7.155792e+200,0.20433807564669992,4.893850530965153,4.293475e+203
24,6.500000e+02,13.238982346185528,0.07553450664492534,5.396846e+198,0.2037869563493,4.90708540877344,3.507950e+201
25,7.020000e+02,13.73938377141681,0.07278346806793357,4.017105e+196,0.20323135871188697,4.920500489383926,2.820007e+199
26,7.560000e+02,14.239756948139437,0.07022591773454812,2.950528e+194,0.20267117729520964,4.9341007110419355,2.230599e+197
27,8.120000e+02,14.740104759191524,0.06784212299281167,2.138064e+192,0.20210630266113055,4.9478912178047665,1.736108e+195
28,8.700000e+02,15.24042970775361,0.06561494781812138,1.528250e+190,0.2015366211620176,4.961877371140844,1.329577e+193
29,9.300000e+02,15.740733977899131,0.06352943905945274,1.077301e+188,0.20096201471588596,4.976064762357055,1.001890e+191
30,9.920000e+02,16.241019483907973,0.06157248939888448,7.487942e+185,0.20038236056605918,4.990459225927395,7.428038e+188
31,1.056000e+03,16.74128791070229,0.05973256091968437,5.130764e+183,0.19979753102406497,5.005066853801878,5.418087e+186
32,1.122000e+03,17.24154074721869,0.05799945693144126,3.465011e+181,0.19920739319432207,5.019894010783645,3.887743e+184
